"Taxon","Quadrat","Abundance","SiteHeightYear"
"Ulva lactuca",6,0.5,"North Beach MID 2011"
"Bare Rock",7,3,"North Beach MID 2011"
"Alaria",7,3,"North Beach MID 2011"
"Corallina vancouveriensis",7,4,"North Beach MID 2011"
"Endocladia muricata",7,3,"North Beach MID 2011"
"Fucus distichus subsp. evanescens",7,20,"North Beach MID 2011"
"Halosaccion glandiforme",7,8,"North Beach MID 2011"
"Hildenbrandia",7,15,"North Beach MID 2011"
"Leathesia marina",7,1,"North Beach MID 2011"
"Mastocarpus latissimus",7,2,"North Beach MID 2011"
"Mastocarpus rigidus",7,2,"North Beach MID 2011"
"Mazzaella latissimus",7,2,"North Beach MID 2011"
"Mazzaella rigidus",7,2,"North Beach MID 2011"
"Mazzaella oregona",7,1,"North Beach MID 2011"
"Nemalion helminthoides",7,0.5,"North Beach MID 2011"
"Petrocelis",7,15,"North Beach MID 2011"
"Petrocelis",7,30,"North Beach MID 2011"
"Polysiphonia hendryi",7,0.5,"North Beach MID 2011"
"Porphyra perforata",7,2,"North Beach MID 2011"
"Pseudolithophyllum neofarlowii",7,5,"North Beach MID 2011"
"Pylaiella littoralis",7,2,"North Beach MID 2011"
"Ulva lactuca",7,1,"North Beach MID 2011"
"Bare Rock",8,34,"North Beach MID 2011"
"Bossiella",8,2,"North Beach MID 2011"
"Cladophora columbiana",8,1,"North Beach MID 2011"
"Corallina vancouveriensis",8,6,"North Beach MID 2011"
"Fucus distichus subsp. evanescens",8,4,"North Beach MID 2011"
"Gloiopeltis furcata",8,0.5,"North Beach MID 2011"
"Halosaccion glandiforme",8,2,"North Beach MID 2011"
"Hildenbrandia",8,4,"North Beach MID 2011"
"Leathesia marina",8,2,"North Beach MID 2011"
"Mastocarpus latissimus",8,0.5,"North Beach MID 2011"
"Mazzaella latissimus",8,2.5,"North Beach MID 2011"
"Mastocarpus spp",8,2,"North Beach MID 2011"
"Petrocelis",8,36,"North Beach MID 2011"
"Plocamium violaceum",8,4,"North Beach MID 2011"
"Polysiphonia hendryi",8,1,"North Beach MID 2011"
"Porphyra perforata",8,13,"North Beach MID 2011"
"Pseudolithophyllum neofarlowii",8,6,"North Beach MID 2011"
"Bare Rock",9,45,"North Beach MID 2011"
"Alaria",9,0.5,"North Beach MID 2011"
"Cladophora columbiana",9,0.5,"North Beach MID 2011"
"Corallina frondescens",9,3,"North Beach MID 2011"
"Corallina vancouveriensis",9,7,"North Beach MID 2011"
"Coralline crust, unknown",9,1,"North Beach MID 2011"
"Fucus distichus subsp. evanescens",9,0.5,"North Beach MID 2011"
"Halosaccion glandiforme",9,6,"North Beach MID 2011"
"Hildenbrandia",9,20,"North Beach MID 2011"
"Leathesia marina",9,4,"North Beach MID 2011"
"Mastocarpus latissimus",9,0.5,"North Beach MID 2011"
"Mazzaella latissimus",9,0.5,"North Beach MID 2011"
"Nemalion helminthoides",9,0.5,"North Beach MID 2011"
"Petrocelis",9,18,"North Beach MID 2011"
"Plocamium violaceum",9,0.5,"North Beach MID 2011"
"Porphyra abbottiae",9,6,"North Beach MID 2011"
"Porphyra perforata",9,0.5,"North Beach MID 2011"
"Porphyra schizophylla",9,7,"North Beach MID 2011"
"Pseudolithophyllum neofarlowii",9,15,"North Beach MID 2011"
"Bare Rock",10,7,"North Beach MID 2011"
"Ceramium pacificum",10,1,"North Beach MID 2011"
"Corallina",10,3,"North Beach MID 2011"
"Fucus distichus subsp. evanescens",10,2,"North Beach MID 2011"
"Halosaccion glandiforme",10,2,"North Beach MID 2011"
"Petrocelis",10,87,"North Beach MID 2011"
"Porphyra perforata",10,5,"North Beach MID 2011"
"Ulva linza",10,0.5,"North Beach MID 2011"
"Acrosiphonia",1,0.5,"North Beach MID 2012"
"Alaria marginata",1,25,"North Beach MID 2012"
"Callithamnion pikeanum",1,6,"North Beach MID 2012"
"Fucus distichus",1,25,"North Beach MID 2012"
"Halosaccion glandiforme",1,8,"North Beach MID 2012"
"Hildenbrandia occidentalis",1,8,"North Beach MID 2012"
"Hildenbrandia rubra",1,2,"North Beach MID 2012"
"Mastocarpus alaskensis",1,2,"North Beach MID 2012"
"Mazzaella oregona",1,10,"North Beach MID 2012"
"Microcladia borealis",1,9,"North Beach MID 2012"
"Petrocelis",1,6,"North Beach MID 2012"
"Polysiphonia hendryi var. hendryi",1,1,"North Beach MID 2012"
"Pyropia perforata",1,8,"North Beach MID 2012"
"Pseudolithophyllum neofarlowii",1,6,"North Beach MID 2012"
"Pterosiphonia bipinata",1,2,"North Beach MID 2012"
"Ulva lactuca",1,1,"North Beach MID 2012"
"Balanus glandula",1,4,"North Beach MID 2012"
"Anthopleura",1,3,"North Beach MID 2012"
"Lottia spp",1,9,"North Beach MID 2012"
"Pisaster ochraceous",1,3,"North Beach MID 2012"
"Pagurus spp",1,2,"North Beach MID 2012"
"Idotea",1,4,"North Beach MID 2012"
"Katharina tunicata",1,2,"North Beach MID 2012"
"Worm",1,1,"North Beach MID 2012"
"Bare Rock",2,8,"North Beach MID 2012"
"Acrosiphonia",2,0.5,"North Beach MID 2012"
"Alaria marginata",2,95,"North Beach MID 2012"
"Callithamnion pikeanum",2,14,"North Beach MID 2012"
"Corallina vancouveriensis",2,45,"North Beach MID 2012"
"Halosaccion glandiforme",2,1.5,"North Beach MID 2012"
"Hildenbrandia occidentalis",2,3,"North Beach MID 2012"
"Hymenena/Cryptopleura",2,7,"North Beach MID 2012"
"Leathesia marina",2,1,"North Beach MID 2012"
"Microcladia borealis",2,9.5,"North Beach MID 2012"
"Petrocelis",2,6,"North Beach MID 2012"
"Pseudolithophyllum neofarlowii",2,7,"North Beach MID 2012"
"Ulva lactuca",2,1,"North Beach MID 2012"
"Onchidella borealis",2,3,"North Beach MID 2012"
"Sculpin",2,1,"North Beach MID 2012"
"Leptasterias",2,3,"North Beach MID 2012"
"Balanus glandula",2,4,"North Beach MID 2012"
"Lottia spp",2,7,"North Beach MID 2012"
"Pagurus spp",2,1,"North Beach MID 2012"
"Idotea",2,1,"North Beach MID 2012"
"Katharina tunicata",2,10,"North Beach MID 2012"
"Other Chiton",2,15,"North Beach MID 2012"
"Worm",2,1,"North Beach MID 2012"
"Tan Sponge",2,1,"North Beach MID 2012"
"Littorina",2,1,"North Beach MID 2012"
"Bare Rock",3,8,"North Beach MID 2012"
"Alaria marginata",3,1,"North Beach MID 2012"
"Cladophora columbiana",3,4,"North Beach MID 2012"
"Corallina vancouveriensis",3,8,"North Beach MID 2012"
"Elachista fucicola",3,2,"North Beach MID 2012"
"Endocladia muricata",3,0.5,"North Beach MID 2012"
"Fucus distichus",3,30,"North Beach MID 2012"
"Halosaccion glandiforme",3,5,"North Beach MID 2012"
"Hildenbrandia occidentalis",3,2,"North Beach MID 2012"
"Hildenbrandia rubra",3,3,"North Beach MID 2012"
"Leathesia marina",3,4,"North Beach MID 2012"
"Petrocelis",3,3,"North Beach MID 2012"
"Hildenbrandia occidentalis",3,80,"North Beach MID 2012"
"Balanus glandula",3,16,"North Beach MID 2012"
"Anthopleura",3,1,"North Beach MID 2012"
"Lottia spp",3,132,"North Beach MID 2012"
"Littorina",3,92,"North Beach MID 2012"
"Acrosiphonia",4,0.1,"North Beach MID 2012"
"Cryptosiphonia woodii",4,1,"North Beach MID 2012"
"Endocladia muricata",4,0.25,"North Beach MID 2012"
"Fucus distichus",4,20,"North Beach MID 2012"
"Gloiopeltis furcata",4,1,"North Beach MID 2012"
"Hildenbrandia rubra",4,1,"North Beach MID 2012"
"Mastocarpus alaskensis",4,3,"North Beach MID 2012"
"Petrocelis",4,4,"North Beach MID 2012"
"Hildenbrandia occidentalis",4,85,"North Beach MID 2012"
"Pyropia perforata",4,5,"North Beach MID 2012"
"Ulva lactuca",4,0.5,"North Beach MID 2012"
"Balanus glandula",4,20,"North Beach MID 2012"
"Chthamalus dalli",4,1,"North Beach MID 2012"
"Anthopleura",4,2.5,"North Beach MID 2012"
"Lottia spp",4,22,"North Beach MID 2012"
"Pisaster ochraceous",4,1,"North Beach MID 2012"
"Pagurus spp",4,1,"North Beach MID 2012"
"Littorina",4,4,"North Beach MID 2012"
"Bare Rock",5,20,"North Beach MID 2012"
"Alaria marginata",5,2,"North Beach MID 2012"
"Analipus japonicus",5,1,"North Beach MID 2012"
"Cladophora columbiana",5,1,"North Beach MID 2012"
"Corallina vancouveriensis",5,25,"North Beach MID 2012"
"Endocladia muricata",5,0.5,"North Beach MID 2012"
"Fucus distichus",5,15,"North Beach MID 2012"
"Halosaccion glandiforme",5,5,"North Beach MID 2012"
"Leathesia marina",5,5,"North Beach MID 2012"
"Mastocarpus alaskensis",5,0.5,"North Beach MID 2012"
"Nemalion helminthoides",5,0.5,"North Beach MID 2012"
"Petrocelis",5,5,"North Beach MID 2012"
"Hildenbrandia occidentalis",5,25,"North Beach MID 2012"
"Pyropia perforata",5,4,"North Beach MID 2012"
"Pseudolithophyllum neofarlowii",5,4,"North Beach MID 2012"
"Pterosiphonia bipinata",5,3,"North Beach MID 2012"
"Balanus glandula",5,2,"North Beach MID 2012"
"Chthamalus dalli",5,7,"North Beach MID 2012"
"Anthopleura",5,4,"North Beach MID 2012"
"Lottia spp",5,46,"North Beach MID 2012"
"Pisaster ochraceous",5,3,"North Beach MID 2012"
"Littorina",5,4,"North Beach MID 2012"
"Gammaridae",5,1,"North Beach MID 2012"
"Amphiporus",5,1,"North Beach MID 2012"
"Semibalanus cariosus",5,2,"North Beach MID 2012"
"Bare Rock",6,28,"North Beach MID 2012"
"Acrosiphonia",6,0.25,"North Beach MID 2012"
"Cladophora columbiana",6,2.5,"North Beach MID 2012"
"Corallina vancouveriensis",6,5,"North Beach MID 2012"
"Endocladia muricata",6,0.5,"North Beach MID 2012"
"Fucus distichus",6,2.5,"North Beach MID 2012"
"Gloiopeltis furcata",6,3,"North Beach MID 2012"
"Halosaccion glandiforme",6,5,"North Beach MID 2012"
"Hildenbrandia occidentalis",6,8,"North Beach MID 2012"
"Hildenbrandia rubra",6,6,"North Beach MID 2012"
"Leathesia marina",6,4,"North Beach MID 2012"
"Nemalion helminthoides",6,0.1,"North Beach MID 2012"
"Petrocelis",6,7,"North Beach MID 2012"
"Hildenbrandia occidentalis",6,8,"North Beach MID 2012"
"Polysiphonia hendryi var. hendryi",6,2,"North Beach MID 2012"
"Pyropia perforata",6,20,"North Beach MID 2012"
"Wildemania norrisii",6,5,"North Beach MID 2012"
"Pseudolithophyllum neofarlowii",6,4,"North Beach MID 2012"
"Pterosiphonia bipinata",6,3.5,"North Beach MID 2012"
"Ulva lactuca",6,0.5,"North Beach MID 2012"
"Leptasterias",6,2,"North Beach MID 2012"
"Balanus glandula",6,15,"North Beach MID 2012"
"Chthamalus dalli",6,1,"North Beach MID 2012"
"Anthopleura",6,4,"North Beach MID 2012"
"Lottia spp",6,120,"North Beach MID 2012"
"Pisaster ochraceous",6,1,"North Beach MID 2012"
"Other Chiton",6,1,"North Beach MID 2012"
"Worm",6,2,"North Beach MID 2012"
"Littorina",6,23,"North Beach MID 2012"
"Bare Rock",7,35,"North Beach MID 2012"
"Bossiella frondifera",7,4,"North Beach MID 2012"
"Cladophora columbiana",7,2,"North Beach MID 2012"
"Corallina vancouveriensis",7,35,"North Beach MID 2012"
"Endocladia muricata",7,1,"North Beach MID 2012"
"Fucus distichus",7,2,"North Beach MID 2012"
"Gloiopeltis furcata",7,0.5,"North Beach MID 2012"
"Halosaccion glandiforme",7,1,"North Beach MID 2012"
"Hildenbrandia occidentalis",7,6,"North Beach MID 2012"
"Hildenbrandia rubra",7,4,"North Beach MID 2012"
"Leathesia marina",7,5,"North Beach MID 2012"
"Microcladia borealis",7,4,"North Beach MID 2012"
"Petrocelis",7,4,"North Beach MID 2012"
"Hildenbrandia occidentalis",7,20,"North Beach MID 2012"
"Phyllospadix scouleri",7,10,"North Beach MID 2012"
"Pyropia perforata",7,30,"North Beach MID 2012"
"Wildemania norrisii",7,8,"North Beach MID 2012"
"Ralfsia fungiformis",7,5,"North Beach MID 2012"
"Ulva lactuca",7,1,"North Beach MID 2012"
"Sculpin",7,1,"North Beach MID 2012"
"Leptasterias",7,3,"North Beach MID 2012"
"Balanus glandula",7,5,"North Beach MID 2012"
"Chthamalus dalli",7,40,"North Beach MID 2012"
"Anthopleura",7,8,"North Beach MID 2012"
"Lottia spp",7,20,"North Beach MID 2012"
"Pisaster ochraceous",7,2,"North Beach MID 2012"
"Idotea",7,3,"North Beach MID 2012"
"Katharina tunicata",7,1,"North Beach MID 2012"
"Littorina",7,60,"North Beach MID 2012"
"Bare Rock",8,8,"North Beach MID 2012"
"Bossiella frondifera",8,3,"North Beach MID 2012"
"Codium fragile",8,5,"North Beach MID 2012"
"Corallina vancouveriensis",8,5,"North Beach MID 2012"
"Elachista fucicola",8,1,"North Beach MID 2012"
"Fucus distichus",8,20,"North Beach MID 2012"
"Gloiopeltis furcata",8,1,"North Beach MID 2012"
"Halosaccion glandiforme",8,4,"North Beach MID 2012"
"Hildenbrandia occidentalis",8,15,"North Beach MID 2012"
"Mastocarpus alaskensis",8,3,"North Beach MID 2012"
"Petrocelis",8,2,"North Beach MID 2012"
"Hildenbrandia occidentalis",8,70,"North Beach MID 2012"
"Pyropia perforata",8,25,"North Beach MID 2012"
"Wildemania norrisii",8,5,"North Beach MID 2012"
"Prionitis sternbergii",8,2,"North Beach MID 2012"
"Ralfsia fungiformis",8,4,"North Beach MID 2012"
"Scytosiphon lomentarii",8,1,"North Beach MID 2012"
"Ulva linza",8,1,"North Beach MID 2012"
"Leptasterias",8,1,"North Beach MID 2012"
"Balanus glandula",8,8,"North Beach MID 2012"
"Chthamalus dalli",8,8,"North Beach MID 2012"
"Anthopleura",8,6,"North Beach MID 2012"
"Lottia spp",8,8,"North Beach MID 2012"
"Pisaster ochraceous",8,1,"North Beach MID 2012"
"Idotea",8,1,"North Beach MID 2012"
"Littorina",8,1,"North Beach MID 2012"
"Bare Rock",9,5,"North Beach MID 2012"
"Bossiella frondifera",9,0.5,"North Beach MID 2012"
"Cladophora columbiana",9,1,"North Beach MID 2012"
"Clathromorphum reclinatum",9,0.5,"North Beach MID 2012"
"Corallina vancouveriensis",9,15,"North Beach MID 2012"
"Fucus distichus",9,30,"North Beach MID 2012"
"Halosaccion glandiforme",9,2,"North Beach MID 2012"
"Hildenbrandia occidentalis",9,30,"North Beach MID 2012"
"Mastocarpus alaskensis",9,1,"North Beach MID 2012"
"Hildenbrandia occidentalis",9,60,"North Beach MID 2012"
"Pyropia perforata",9,1,"North Beach MID 2012"
"Wildemania norrisii",9,1,"North Beach MID 2012"
"Ulva linza",9,0.5,"North Beach MID 2012"
"Balanus glandula",9,2,"North Beach MID 2012"
"Chthamalus dalli",9,3,"North Beach MID 2012"
"Anthopleura",9,4,"North Beach MID 2012"
"Lottia spp",9,17,"North Beach MID 2012"
"Pisaster ochraceous",9,4,"North Beach MID 2012"
"Pagurus spp",9,2,"North Beach MID 2012"
"Idotea",9,1,"North Beach MID 2012"
"Littorina",9,6,"North Beach MID 2012"
"Semibalanus cariosus",9,0.5,"North Beach MID 2012"
"Kelp crab",9,1,"North Beach MID 2012"
"Cf. Amphissa columbiana",9,1,"North Beach MID 2012"
"Bare Rock",10,10,"North Beach MID 2012"
"Acrosiphonia",10,0.5,"North Beach MID 2012"
"Elachista fucicola",10,1,"North Beach MID 2012"
"Fucus distichus",10,50,"North Beach MID 2012"
"Halosaccion glandiforme",10,0.5,"North Beach MID 2012"
"Hildenbrandia occidentalis",10,35,"North Beach MID 2012"
"Mastocarpus agardhii",10,2,"North Beach MID 2012"
"Hildenbrandia occidentalis",10,50,"North Beach MID 2012"
"Pyropia abbottiae",10,2,"North Beach MID 2012"
"Pyropia fucicola",10,0.5,"North Beach MID 2012"
"Pyropia perforata",10,5,"North Beach MID 2012"
"Wildemania norrisii",10,5,"North Beach MID 2012"
"Pseudolithophyllum neofarlowii",10,20,"North Beach MID 2012"
"Pterosiphonia bipinata",10,0.5,"North Beach MID 2012"
"Ulva lactuca",10,0.5,"North Beach MID 2012"
"Ulva linza",10,0.5,"North Beach MID 2012"
"Balanus glandula",10,0.5,"North Beach MID 2012"
"Chthamalus dalli",10,1,"North Beach MID 2012"
"Anthopleura",10,3,"North Beach MID 2012"
"Lottia spp",10,6,"North Beach MID 2012"
"Bare Rock",1,35,"North Beach HIGH 2011"
"Cladophora columbiana",1,1,"North Beach HIGH 2011"
"Endocladia muricata",1,2,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",1,35,"North Beach HIGH 2011"
"Halosaccion glandiforme",1,3,"North Beach HIGH 2011"
"Hildenbrandia",1,60,"North Beach HIGH 2011"
"Mastocarpus latissimus",1,4,"North Beach HIGH 2011"
"Mazzaella latissimus",1,4,"North Beach HIGH 2011"
"Petrocelis",1,3,"North Beach HIGH 2011"
"Porphyra perforata",1,3,"North Beach HIGH 2011"
"Pseudolithophyllum neofarlowii",1,1,"North Beach HIGH 2011"
"Bare Rock",2,24,"North Beach HIGH 2011"
"Bossiella",2,2,"North Beach HIGH 2011"
"Cladophora columbiana",2,0.5,"North Beach HIGH 2011"
"Clathromorphum reclinatum",2,1,"North Beach HIGH 2011"
"Corallina frondescens",2,3,"North Beach HIGH 2011"
"Corallina vancouveriensis",2,10,"North Beach HIGH 2011"
"Coralline crust, unknown",2,3,"North Beach HIGH 2011"
"Endocladia muricata",2,0.5,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",2,17,"North Beach HIGH 2011"
"Halosaccion glandiforme",2,5,"North Beach HIGH 2011"
"Hildenbrandia",2,28,"North Beach HIGH 2011"
"Leathesia marina",2,0.5,"North Beach HIGH 2011"
"Mastocarpus latissimus",2,1,"North Beach HIGH 2011"
"Mazzaella latissimus",2,1,"North Beach HIGH 2011"
"Petrocelis",2,8,"North Beach HIGH 2011"
"Phyllospadix",2,2,"North Beach HIGH 2011"
"Pseudolithophyllum neofarlowii",2,15,"North Beach HIGH 2011"
"Ulva lactuca",2,12,"North Beach HIGH 2011"
"Bare Rock",3,28,"North Beach HIGH 2011"
"Cladophora columbiana",3,2,"North Beach HIGH 2011"
"Corallina vancouveriensis",3,0.5,"North Beach HIGH 2011"
"Endocladia muricata",3,2,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",3,16,"North Beach HIGH 2011"
"Halosaccion glandiforme",3,1,"North Beach HIGH 2011"
"Hildenbrandia",3,16,"North Beach HIGH 2011"
"Mastocarpus latissimus",3,2,"North Beach HIGH 2011"
"Mazzaella latissimus",3,2,"North Beach HIGH 2011"
"Mazzaella oregona",3,1,"North Beach HIGH 2011"
"Petrocelis",3,27,"North Beach HIGH 2011"
"Porphyra perforata",3,12,"North Beach HIGH 2011"
"Pseudolithophyllum neofarlowii",3,5,"North Beach HIGH 2011"
"Bare Rock",4,20,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",4,25,"North Beach HIGH 2011"
"Hildenbrandia",4,20,"North Beach HIGH 2011"
"Petrocelis",4,8,"North Beach HIGH 2011"
"Petrocelis",4,25,"North Beach HIGH 2011"
"Porphyra perforata",4,5,"North Beach HIGH 2011"
"Porphyra schizophylla",4,2,"North Beach HIGH 2011"
"Bare Rock",5,80,"North Beach HIGH 2011"
"Cladophora columbiana",5,0.5,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",5,8,"North Beach HIGH 2011"
"Halosaccion glandiforme",5,4,"North Beach HIGH 2011"
"Mastocarpus latissimus",5,2,"North Beach HIGH 2011"
"Mazzaella latissimus",5,2,"North Beach HIGH 2011"
"Petrocelis",5,12,"North Beach HIGH 2011"
"Porphyra perforata",5,13,"North Beach HIGH 2011"
"Bare Rock",6,8,"North Beach HIGH 2011"
"Elachista fucicola",6,2,"North Beach HIGH 2011"
"Endocladia muricata",6,0.5,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",6,90,"North Beach HIGH 2011"
"Hildenbrandia",6,30,"North Beach HIGH 2011"
"Mastocarpus latissimus",6,2,"North Beach HIGH 2011"
"Mastocarpus rigidus",6,4,"North Beach HIGH 2011"
"Mazzaella latissimus",6,2,"North Beach HIGH 2011"
"Mazzaella rigidus",6,4,"North Beach HIGH 2011"
"Petrocelis",6,2,"North Beach HIGH 2011"
"Petrocelis",6,12,"North Beach HIGH 2011"
"Porphyra perforata",6,6,"North Beach HIGH 2011"
"Ulva lactuca",6,0.5,"North Beach HIGH 2011"
"Bare Rock",7,7,"North Beach HIGH 2011"
"Elachista fucicola",7,2,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",7,42,"North Beach HIGH 2011"
"Hildenbrandia",7,13,"North Beach HIGH 2011"
"Mastocarpus latissimus",7,1,"North Beach HIGH 2011"
"Mastocarpus rigidus",7,3,"North Beach HIGH 2011"
"Mazzaella latissimus",7,1,"North Beach HIGH 2011"
"Mazzaella rigidus",7,3,"North Beach HIGH 2011"
"Mazzaella oregona",7,1,"North Beach HIGH 2011"
"Petrocelis",7,78,"North Beach HIGH 2011"
"Porphyra perforata",7,2,"North Beach HIGH 2011"
"Ulva lactuca",7,2,"North Beach HIGH 2011"
"Bare Rock",8,70,"North Beach HIGH 2011"
"Coralline crust, unknown",8,2,"North Beach HIGH 2011"
"Endocladia muricata",8,0.5,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",8,6,"North Beach HIGH 2011"
"Hildenbrandia",8,0.5,"North Beach HIGH 2011"
"Mastocarpus latissimus",8,0.5,"North Beach HIGH 2011"
"Mazzaella latissimus",8,0.5,"North Beach HIGH 2011"
"Petrocelis",8,30,"North Beach HIGH 2011"
"Porphyra perforata",8,12,"North Beach HIGH 2011"
"Bare Rock",9,3,"North Beach HIGH 2011"
"Cladophora columbiana",9,3,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",9,23,"North Beach HIGH 2011"
"Halosaccion glandiforme",9,0.5,"North Beach HIGH 2011"
"Hildenbrandia",9,2,"North Beach HIGH 2011"
"Mastocarpus latissimus",9,2,"North Beach HIGH 2011"
"Mastocarpus rigidus",9,1,"North Beach HIGH 2011"
"Mazzaella latissimus",9,3,"North Beach HIGH 2011"
"Mazzaella rigidus",9,2,"North Beach HIGH 2011"
"Mastocarpus spp",9,2,"North Beach HIGH 2011"
"Petrocelis",9,90,"North Beach HIGH 2011"
"Pseudolithophyllum neofarlowii",9,1,"North Beach HIGH 2011"
"Ulva lactuca",9,2,"North Beach HIGH 2011"
"Ulva linza",9,1,"North Beach HIGH 2011"
"Bare Rock",10,10,"North Beach HIGH 2011"
"Fucus distichus subsp. evanescens",10,12,"North Beach HIGH 2011"
"Halosaccion glandiforme",10,0.5,"North Beach HIGH 2011"
"Hildenbrandia",10,10,"North Beach HIGH 2011"
"Ulva linza",10,0.5,"North Beach HIGH 2011"
"Bare Rock",1,3,"North Beach HIGH 2012"
"Acrosiphonia",1,1,"North Beach HIGH 2012"
"Elachista fucicola",1,2,"North Beach HIGH 2012"
"Endocladia muricata",1,5,"North Beach HIGH 2012"
"Fucus distichus",1,27,"North Beach HIGH 2012"
"Halosaccion glandiforme",1,3,"North Beach HIGH 2012"
"Hildenbrandia occidentalis",1,30,"North Beach HIGH 2012"
"Mastocarpus alaskensis",1,4,"North Beach HIGH 2012"
"Mastocarpus rigidus",1,1,"North Beach HIGH 2012"
"Hildenbrandia occidentalis",1,20,"North Beach HIGH 2012"
"Pyropia perforata",1,13,"North Beach HIGH 2012"
"Wildemania norrisii",1,9,"North Beach HIGH 2012"
"Ulva lactuca",1,2.5,"North Beach HIGH 2012"
"Mytilus",1,0.1,"North Beach HIGH 2012"
"Anthopleura",1,2.5,"North Beach HIGH 2012"
"Balanus glandula",1,28,"North Beach HIGH 2012"
"Chthamalus dalli",1,2,"North Beach HIGH 2012"
"Littorina",1,22,"North Beach HIGH 2012"
"Lottia",1,70,"North Beach HIGH 2012"
"Ligia",1,2,"North Beach HIGH 2012"
"Bare Rock",2,13,"North Beach HIGH 2012"
"Cladophora sericea",2,2,"North Beach HIGH 2012"
"Endocladia muricata",2,0.1,"North Beach HIGH 2012"
"Fucus distichus",2,27,"North Beach HIGH 2012"
"Gloiopeltis furcata",2,1,"North Beach HIGH 2012"
"Hildenbrandia rubra",2,4,"North Beach HIGH 2012"
"Mastocarpus alaskensis",2,3.5,"North Beach HIGH 2012"
"Petrocelis",2,4,"North Beach HIGH 2012"
"Hildenbrandia occidentalis",2,47,"North Beach HIGH 2012"
"Pyropia perforata",2,7,"North Beach HIGH 2012"
"Mytilus",2,0.5,"North Beach HIGH 2012"
"Balanus glandula",2,30,"North Beach HIGH 2012"
"Chthamalus dalli",2,4,"North Beach HIGH 2012"
"Littorina",2,280,"North Beach HIGH 2012"
"Lottia",2,46,"North Beach HIGH 2012"
"Worm",2,1,"North Beach HIGH 2012"
"Idotea",2,1,"North Beach HIGH 2012"
"Bare Rock",3,3,"North Beach HIGH 2012"
"Callithamnion pikeanum",3,0.1,"North Beach HIGH 2012"
"Elachista fucicola",3,9,"North Beach HIGH 2012"
"Fucus distichus",3,96,"North Beach HIGH 2012"
"Halosaccion glandiforme",3,0.5,"North Beach HIGH 2012"
"Hildenbrandia occidentalis",3,5,"North Beach HIGH 2012"
"Mastocarpus alaskensis",3,6,"North Beach HIGH 2012"
"Mastocarpus rigidus",3,2,"North Beach HIGH 2012"
"Mazzaella oregona",3,3,"North Beach HIGH 2012"
"Hildenbrandia occidentalis",3,12,"North Beach HIGH 2012"
"Pyropia perforata",3,11,"North Beach HIGH 2012"
"Pseudolithophyllum neofarlowii",3,4,"North Beach HIGH 2012"
"Ulva lactuca",3,2,"North Beach HIGH 2012"
"Anthopleura",3,5,"North Beach HIGH 2012"
"Balanus glandula",3,40,"North Beach HIGH 2012"
"Chthamalus dalli",3,2.5,"North Beach HIGH 2012"
"Littorina",3,28,"North Beach HIGH 2012"
"Lottia",3,52,"North Beach HIGH 2012"
"Ligia",3,1,"North Beach HIGH 2012"
"Idotea",3,3,"North Beach HIGH 2012"
"Gobisox",3,1,"North Beach HIGH 2012"
"Pisaster ochraceous",3,2,"North Beach HIGH 2012"
"Bare Rock",4,4,"North Beach HIGH 2012"
"Endocladia muricata",4,0.5,"North Beach HIGH 2012"
"Fucus distichus",4,78,"North Beach HIGH 2012"
"Gloiopeltis furcata",4,0.5,"North Beach HIGH 2012"
"Mastocarpus rigidus",4,0.5,"North Beach HIGH 2012"
"Hildenbrandia occidentalis",4,18,"North Beach HIGH 2012"
"Pyropia perforata",4,9,"North Beach HIGH 2012"
"Ulva lactuca",4,1,"North Beach HIGH 2012"
"Balanus glandula",4,33,"North Beach HIGH 2012"
"Chthamalus dalli",4,20,"North Beach HIGH 2012"
"Littorina",4,28,"North Beach HIGH 2012"
"Lottia",4,11,"North Beach HIGH 2012"
"Idotea",4,1,"North Beach HIGH 2012"
"Bare Rock",5,7,"North Beach HIGH 2012"
"Elachista fucicola",5,1,"North Beach HIGH 2012"
"Fucus distichus",5,80,"North Beach HIGH 2012"
"Gloiopeltis furcata",5,0.5,"North Beach HIGH 2012"
"Mastocarpus alaskensis",5,1,"North Beach HIGH 2012"
"Mazzaella oregona",5,1,"North Beach HIGH 2012"
"Hildenbrandia occidentalis",5,80,"North Beach HIGH 2012"
"Pyropia perforata",5,7,"North Beach HIGH 2012"
"Ulva linza",5,0.5,"North Beach HIGH 2012"
"Mytilus",5,0.5,"North Beach HIGH 2012"
"Balanus glandula",5,5,"North Beach HIGH 2012"
"Chthamalus dalli",5,12,"North Beach HIGH 2012"
"Limpet",5,12,"North Beach HIGH 2012"
"Littorina",5,34,"North Beach HIGH 2012"
"Gammaridae",5,1,"North Beach HIGH 2012"
"Semibalanus cariosus",5,1,"North Beach HIGH 2012"
"Bare Rock",6,10,"North Beach HIGH 2012"
