Site,Zone,non.alga.flag,taxon,Abundance,rank,total,prop,csum
Fifth Beach,HIGH,Animal,Barnacle,30.95625,1,120.4,0.26,0.78
Fifth Beach,HIGH,Animal,Mytilus.sp.,16.3,2,120.4,0.14,0.92
Fifth Beach,HIGH,Animal,Balanus.glandula,3.375,3,120.4,0.03,0.95
Fifth Beach,HIGH,Animal,Chthamalus.dalli,3.025,4,120.4,0.03,0.97
Fifth Beach,HIGH,Animal,Semibalanus.cariosus,1.4,5,120.4,0.01,0.98
Fifth Beach,HIGH,Animal,Pollicipes.polymerus,0.925,6,120.4,0.01,0.99
Fifth Beach,HIGH,Animal,Anemone,0.8625,7,120.4,0.01,1
Fifth Beach,HIGH,Animal,Anthopleura.sp.,0.1125,8,120.4,0,1
Fifth Beach,HIGH,Animal,Anthopleura.xanthogrammica,0.0375,9,120.4,0,1
Fifth Beach,HIGH,Animal,Anthopleura.elegantissima,0.025,10,120.4,0,1
Fifth Beach,HIGH,Animal,Balanus.sp.,0.0125,11,120.4,0,1
Fifth Beach,HIGH,Animal,Tube.worms,0.00625,12,120.4,0,1
Fifth Beach,HIGH,Animal,Tunicata/Porifera,0.00625,13,120.4,0,1
Foggy Cove,LOW,Algae,Alaria.marginata,23.475,1,140.3,0.17,0.17
Foggy Cove,LOW,Algae,Fucus.distichus,14.70625,2,140.3,0.1,0.27
Foggy Cove,LOW,Algae,Egregia.menziesii,14.31875,3,140.3,0.1,0.37
Foggy Cove,LOW,Algae,Polyneura.latissima,7.09375,4,140.3,0.05,0.42
Foggy Cove,LOW,Algae,Neogastroclonium.subarticulatum,6.0625,5,140.3,0.04,0.47
Foggy Cove,LOW,Algae,Neorhodomela.larix,5.24375,6,140.3,0.04,0.51
Foggy Cove,LOW,Algae,Cryptosiphonia.woodii,4.3125,7,140.3,0.03,0.54
Foggy Cove,LOW,Algae,Phyllospadix.scouleri,4.30625,8,140.3,0.03,0.57
Foggy Cove,LOW,Algae,Acrosiphonia.coalita,4.1375,9,140.3,0.03,0.6
Foggy Cove,LOW,Algae,Chamberlainium.tumidum,3.73125,10,140.3,0.03,0.62
Foggy Cove,LOW,Algae,Ulva.fenestrata,3.5625,11,140.3,0.03,0.65
Foggy Cove,LOW,Algae,Palmaria.hecatensis,3.15,12,140.3,0.02,0.67
Foggy Cove,LOW,Algae,Bossiella.frondescens,2.8125,13,140.3,0.02,0.69
Foggy Cove,LOW,Algae,Bossiella.frondifera,2.69375,14,140.3,0.02,0.71
Foggy Cove,LOW,Algae,Hildenbrandia.sp.,2.66875,15,140.3,0.02,0.73
Foggy Cove,LOW,Algae,Corallina.vancouveriensis,2.63125,16,140.3,0.02,0.75
Foggy Cove,LOW,Algae,Mastocarpus.sp.,2.51875,17,140.3,0.02,0.77
Foggy Cove,LOW,Algae,Phyllospadix.serrulatus,2.33125,18,140.3,0.02,0.78
Foggy Cove,LOW,Algae,Plocamium.violaceum,1.95625,19,140.3,0.01,0.8
Foggy Cove,LOW,Algae,Halosaccion.glandiforme,1.73125,20,140.3,0.01,0.81
Foggy Cove,LOW,Algae,coralline.crust,1.60625,21,140.3,0.01,0.82
Foggy Cove,LOW,Algae,Codium.fragile,1.5625,22,140.3,0.01,0.83
Foggy Cove,LOW,Algae,Mazzaella.splendens,1.4875,23,140.3,0.01,0.84
Foggy Cove,LOW,Algae,Ptilota.sp.,1.425,24,140.3,0.01,0.85
Foggy Cove,LOW,Algae,Mazzaella.oregona,1.3625,25,140.3,0.01,0.86
Foggy Cove,LOW,Algae,Hymenena.sp.,1.35625,26,140.3,0.01,0.87
Foggy Cove,LOW,Algae,Hedophyllum.nigripes,1.29375,27,140.3,0.01,0.88
Foggy Cove,LOW,Algae,Corallina.frondescens,1.24375,28,140.3,0.01,0.89
Foggy Cove,LOW,Algae,Odonthalia.floccosa,1.01875,29,140.3,0.01,0.9
Foggy Cove,LOW,Algae,Endocladia.muricata,1.00625,30,140.3,0.01,0.9
Foggy Cove,LOW,Algae,Ptilota.filicina,0.9875,31,140.3,0.01,0.91
Foggy Cove,LOW,Algae,Ptilota.tenuis,0.9375,32,140.3,0.01,0.92
Foggy Cove,LOW,Algae,Pyropia.perforata,0.775,33,140.3,0.01,0.92
Foggy Cove,LOW,Algae,Prionitis.sternbergii,0.7625,34,140.3,0.01,0.93
Foggy Cove,LOW,Algae,Ceramium.pacificum,0.73125,35,140.3,0.01,0.93
Foggy Cove,LOW,Algae,Petrocelis,0.7125,36,140.3,0.01,0.94
Foggy Cove,LOW,Algae,Leathesia.marina,0.6125,37,140.3,0,0.94
Foggy Cove,LOW,Algae,Ralfsioid,0.5,38,140.3,0,0.95
Foggy Cove,LOW,Algae,Farlowia.mollis,0.425,39,140.3,0,0.95
Foggy Cove,LOW,Algae,Costaria.costata,0.40625,40,140.3,0,0.95
Foggy Cove,LOW,Algae,Osmundea.spectabilis,0.39375,41,140.3,0,0.96
Foggy Cove,LOW,Algae,Microcladia.borealis,0.38125,42,140.3,0,0.96
Foggy Cove,LOW,Algae,Palmaria.mollis,0.36875,43,140.3,0,0.96
Foggy Cove,LOW,Algae,Pyropia.fucicola,0.3125,44,140.3,0,0.96
Foggy Cove,LOW,Algae,Ulva.linza,0.30625,45,140.3,0,0.97
Foggy Cove,LOW,Algae,Laminaria.yezoensis,0.2875,46,140.3,0,0.97
Foggy Cove,LOW,Algae,Lithothamnion.phymatodeum,0.28125,47,140.3,0,0.97
Foggy Cove,LOW,Algae,Acrosiphonia.arcta,0.21875,48,140.3,0,0.97
Foggy Cove,LOW,Algae,Mazzaella.parvula,0.2125,49,140.3,0,0.97
Foggy Cove,LOW,Algae,Lomentaria.hakodatensis,0.18125,50,140.3,0,0.97
Foggy Cove,LOW,Algae,Dilsea.californica,0.175,51,140.3,0,0.98
Foggy Cove,LOW,Algae,Unknown.crust,0.1625,52,140.3,0,0.98
Foggy Cove,LOW,Algae,Corallina.sp.1.frondescens,0.15,53,140.3,0,0.98
Foggy Cove,LOW,Algae,Desmarestia.herbacea,0.1375,54,140.3,0,0.98
Foggy Cove,LOW,Algae,Elachista.fucicola,0.1375,55,140.3,0,0.98
Foggy Cove,LOW,Algae,Pyropia.abbottiae,0.1375,56,140.3,0,0.98
Foggy Cove,LOW,Algae,Analipus.japonicus,0.13125,57,140.3,0,0.98
Foggy Cove,LOW,Algae,Schizymenia.pacifica,0.13125,58,140.3,0,0.98
Foggy Cove,LOW,Algae,Ceramium.codicola,0.125,59,140.3,0,0.98
Foggy Cove,LOW,Algae,Bossiella.sp.5.chiloensis,0.1125,60,140.3,0,0.98
Foggy Cove,LOW,Algae,Colpomenia.bullosa,0.1125,61,140.3,0,0.98
Foggy Cove,LOW,Algae,Scytosiphon.lomentaria,0.1125,62,140.3,0,0.99
Foggy Cove,LOW,Algae,Blidingia.minima,0.10625,63,140.3,0,0.99
Foggy Cove,LOW,Algae,Antithamnionella.pacifica,0.075,64,140.3,0,0.99
Foggy Cove,LOW,Algae,Callithamnion.pikeanum,0.075,65,140.3,0,0.99
Foggy Cove,LOW,Algae,Prionitis.sp.,0.075,66,140.3,0,0.99
Foggy Cove,LOW,Algae,Pyropia.fallax,0.075,67,140.3,0,0.99
Foggy Cove,LOW,Algae,Rhodochorton.purpureum,0.075,68,140.3,0,0.99
Foggy Cove,LOW,Algae,Sphacelaria.rigidula,0.075,69,140.3,0,0.99
Foggy Cove,LOW,Algae,Polysiphonia.pacifica,0.06875,70,140.3,0,0.99
Foggy Cove,LOW,Algae,Corallina.arbuscula,0.0625,71,140.3,0,0.99
Foggy Cove,LOW,Algae,Ulva.intestinalis,0.0625,72,140.3,0,0.99
Foggy Cove,LOW,Algae,Pyropia.sp.,0.05625,73,140.3,0,0.99
Foggy Cove,LOW,Algae,Savoiea.robusta,0.05625,74,140.3,0,0.99
Foggy Cove,LOW,Algae,Bossiella.hakaiensis,0.05,75,140.3,0,0.99
Foggy Cove,LOW,Algae,Bossiella.manzae,0.05,76,140.3,0,0.99
Foggy Cove,LOW,Algae,Corallina.sp.,0.05,77,140.3,0,0.99
Foggy Cove,LOW,Algae,Desmarestia.ligulata,0.04375,78,140.3,0,0.99
Foggy Cove,LOW,Algae,Neopolyporolithon.reclinatum,0.04375,79,140.3,0,0.99
Foggy Cove,LOW,Algae,Colpomenia.peregrina,0.0375,80,140.3,0,0.99
Foggy Cove,LOW,Algae,Cumathamnion.decipiens,0.0375,81,140.3,0,0.99
Foggy Cove,LOW,Algae,Laminaria.setchellii,0.0375,82,140.3,0,0.99
Foggy Cove,LOW,Algae,Monostroma.grevillei,0.0375,83,140.3,0,0.99
Foggy Cove,LOW,Algae,Nereocystis.luetkeana,0.0375,84,140.3,0,0.99
Foggy Cove,LOW,Algae,Pterocladiella.caloglossoides,0.0375,85,140.3,0,0.99
Foggy Cove,LOW,Algae,Ulothrix-Urospora.sp.,0.0375,86,140.3,0,1
Foggy Cove,LOW,Algae,Symphyocladiella.dendroidea,0.03125,87,140.3,0,1
Foggy Cove,LOW,Algae,Callophyllis.sp.,0.025,88,140.3,0,1
Foggy Cove,LOW,Algae,Lithophyllum.sp..8,0.025,89,140.3,0,1
Foggy Cove,LOW,Algae,Polysiphonia.hendryi.var..luxuriens,0.025,90,140.3,0,1
Foggy Cove,LOW,Algae,Polysiphonia.pacifica.var.delicatula,0.025,91,140.3,0,1
Foggy Cove,LOW,Algae,Bossiella.reptans,0.01875,92,140.3,0,1
Foggy Cove,LOW,Algae,Bossiella.sp..(crust),0.01875,93,140.3,0,1
Foggy Cove,LOW,Algae,Herposiphonia.plumula,0.01875,94,140.3,0,1
Foggy Cove,LOW,Algae,Melobesia.sp.,0.01875,95,140.3,0,1
Foggy Cove,LOW,Algae,Colonial.Diatoms,0.0125,96,140.3,0,1
Foggy Cove,LOW,Algae,Lithophyllum.impressum,0.0125,97,140.3,0,1
Foggy Cove,LOW,Algae,Lithophyllum.sp.,0.0125,98,140.3,0,1
Foggy Cove,LOW,Algae,Lithophyllum.sp..1,0.0125,99,140.3,0,1
Foggy Cove,LOW,Algae,Peyssonnelia.sp.,0.0125,100,140.3,0,1
Foggy Cove,LOW,Algae,Pleonosporium.vancouverianum,0.0125,101,140.3,0,1
Foggy Cove,LOW,Algae,Polysiphonia.sp.,0.0125,102,140.3,0,1
Foggy Cove,LOW,Algae,Tokidadendron.bullatum,0.0125,103,140.3,0,1
Foggy Cove,LOW,Algae,Ulva.expansa,0.0125,104,140.3,0,1
Foggy Cove,LOW,Algae,Chaetomorpha.cannabina,0.00625,105,140.3,0,1
Foggy Cove,LOW,Algae,Chiharaea.silvae,0.00625,106,140.3,0,1
Foggy Cove,LOW,Algae,Corallina.officinalis,0.00625,107,140.3,0,1
Foggy Cove,LOW,Algae,Dactylosiphon.bullosus,0.00625,108,140.3,0,1
Foggy Cove,LOW,Algae,Desmarestia.aculeata,0.00625,109,140.3,0,1
Foggy Cove,LOW,Algae,Erythrotrichia.carnea,0.00625,110,140.3,0,1
Foggy Cove,LOW,Algae,Plocamium.pacificum,0.00625,111,140.3,0,1
Foggy Cove,LOW,Algae,Polysiphonia.hendryi.var..hendryi,0.00625,112,140.3,0,1
Foggy Cove,LOW,Animal,Spirorbis,0.1125,1,140.3,0,1
Foggy Cove,LOW,Animal,Spirorbidae,0.04375,2,140.3,0,1
Foggy Cove,LOW,Animal,Barnacle,0.0375,3,140.3,0,1
Foggy Cove,LOW,Animal,Tube.worms,0.0375,4,140.3,0,1
Foggy Cove,LOW,Animal,Anemone,0.03125,5,140.3,0,1
Foggy Cove,LOW,Animal,Tunicata,0.025,6,140.3,0,1
Foggy Cove,LOW,Animal,Halichondria,0.0125,7,140.3,0,1
Foggy Cove,LOW,Animal,Porifera,0.0125,8,140.3,0,1
Foggy Cove,MID,Algae,Fucus.distichus,38.6375,1,103.1,0.37,0.37
Foggy Cove,MID,Algae,Hildenbrandia.sp.,20.96875,2,103.1,0.2,0.58
Foggy Cove,MID,Algae,Mastocarpus.sp.,11.49375,3,103.1,0.11,0.69
Foggy Cove,MID,Algae,Chamberlainium.tumidum,5.38125,4,103.1,0.05,0.74
Foggy Cove,MID,Algae,Endocladia.muricata,3.925,5,103.1,0.04,0.78
Foggy Cove,MID,Algae,Petrocelis,2.98125,6,103.1,0.03,0.81
Foggy Cove,MID,Algae,Elachista.fucicola,2.125,7,103.1,0.02,0.83
Foggy Cove,MID,Algae,Phyllospadix.scouleri,1.4,8,103.1,0.01,0.84
Foggy Cove,MID,Algae,Phyllospadix.serrulatus,1.1625,9,103.1,0.01,0.85
Foggy Cove,MID,Algae,Ulva.fenestrata,1.125,10,103.1,0.01,0.86
Foggy Cove,MID,Algae,Pyropia.perforata,0.98125,11,103.1,0.01,0.87
Foggy Cove,MID,Algae,coralline.crust,0.84375,12,103.1,0.01,0.88
Foggy Cove,MID,Algae,Odonthalia.floccosa,0.8,13,103.1,0.01,0.89
Foggy Cove,MID,Algae,Neorhodomela.larix,0.7625,14,103.1,0.01,0.9
Foggy Cove,MID,Algae,Halosaccion.glandiforme,0.7125,15,103.1,0.01,0.9
Foggy Cove,MID,Algae,Ralfsioid,0.6625,16,103.1,0.01,0.91
Foggy Cove,MID,Algae,Lithothamnion.phymatodeum,0.4875,17,103.1,0,0.92
Foggy Cove,MID,Algae,Mazzaella.oregona,0.4625,18,103.1,0,0.92
Foggy Cove,MID,Algae,Plocamium.violaceum,0.4375,19,103.1,0,0.92
Foggy Cove,MID,Algae,Gloiopeltis.furcata,0.425,20,103.1,0,0.93
Foggy Cove,MID,Algae,Cryptosiphonia.woodii,0.31875,21,103.1,0,0.93
Foggy Cove,MID,Algae,Corallina.vancouveriensis,0.28125,22,103.1,0,0.93
Foggy Cove,MID,Algae,Hymenena.sp.,0.2625,23,103.1,0,0.94
Foggy Cove,MID,Algae,Ulva.linza,0.23125,24,103.1,0,0.94
Foggy Cove,MID,Algae,Pyropia.fucicola,0.2125,25,103.1,0,0.94
Foggy Cove,MID,Algae,Blidingia.minima,0.18125,26,103.1,0,0.94
Foggy Cove,MID,Algae,Polysiphonia.sp.,0.175,27,103.1,0,0.94
Foggy Cove,MID,Algae,Smithora.naiadum,0.16875,28,103.1,0,0.95
Foggy Cove,MID,Algae,Mazzaella.parvula,0.1375,29,103.1,0,0.95
Foggy Cove,MID,Algae,Savoiea.robusta,0.1375,30,103.1,0,0.95
Foggy Cove,MID,Algae,Polyneura.latissima,0.13125,31,103.1,0,0.95
Foggy Cove,MID,Algae,Leathesia.marina,0.1125,32,103.1,0,0.95
Foggy Cove,MID,Algae,Pyropia.abbottiae,0.1125,33,103.1,0,0.95
Foggy Cove,MID,Algae,Egregia.menziesii,0.0875,34,103.1,0,0.95
Foggy Cove,MID,Algae,Neorhodomela.aculeata,0.0875,35,103.1,0,0.95
Foggy Cove,MID,Algae,Alaria.marginata,0.08125,36,103.1,0,0.95
Foggy Cove,MID,Algae,Ceramium.pacificum,0.08125,37,103.1,0,0.96
Foggy Cove,MID,Algae,Bossiella.frondescens,0.075,38,103.1,0,0.96
Foggy Cove,MID,Algae,Pleonosporium.vancouverianum,0.075,39,103.1,0,0.96
Foggy Cove,MID,Algae,Soranthera.ulvoidea,0.075,40,103.1,0,0.96
Foggy Cove,MID,Algae,Acrosiphonia.arcta,0.0625,41,103.1,0,0.96
Foggy Cove,MID,Algae,Palmaria.hecatensis,0.0625,42,103.1,0,0.96
Foggy Cove,MID,Algae,Callithamnion.pikeanum,0.04375,43,103.1,0,0.96
Foggy Cove,MID,Algae,Bangia.sp.,0.0375,44,103.1,0,0.96
Foggy Cove,MID,Algae,Bossiella.sp..(crust),0.0375,45,103.1,0,0.96
Foggy Cove,MID,Algae,Corallina.frondescens,0.0375,46,103.1,0,0.96
Foggy Cove,MID,Algae,Neorhodomela.oregona,0.0375,47,103.1,0,0.96
Foggy Cove,MID,Algae,Prionitis.sternbergii,0.0375,48,103.1,0,0.96
Foggy Cove,MID,Algae,Corallina.sp.,0.03125,49,103.1,0,0.96
Foggy Cove,MID,Algae,Herposiphonia.plumula,0.03125,50,103.1,0,0.96
Foggy Cove,MID,Algae,Acrosiphonia.coalita,0.025,51,103.1,0,0.96
Foggy Cove,MID,Algae,Colpomenia.peregrina,0.025,52,103.1,0,0.96
Foggy Cove,MID,Algae,Crusticorallina.muricata,0.025,53,103.1,0,0.96
Foggy Cove,MID,Algae,Mazzaella.splendens,0.025,54,103.1,0,0.96
Foggy Cove,MID,Algae,Blidingia.sp.,0.01875,55,103.1,0,0.96
Foggy Cove,MID,Algae,Osmundea.spectabilis,0.01875,56,103.1,0,0.96
Foggy Cove,MID,Algae,Palmaria.mollis,0.01875,57,103.1,0,0.96
Foggy Cove,MID,Algae,Pyropia.sp.,0.01875,58,103.1,0,0.96
Foggy Cove,MID,Algae,Rhodochorton.purpureum,0.01875,59,103.1,0,0.96
Foggy Cove,MID,Algae,Ahnfeltia.fastigiata,0.0125,60,103.1,0,0.96
Foggy Cove,MID,Algae,Kornmannia.leptoderma,0.0125,61,103.1,0,0.96
Foggy Cove,MID,Algae,Odonthalia.floccosa.f..comosa,0.0125,62,103.1,0,0.96
Foggy Cove,MID,Algae,Pyropia.fallax,0.0125,63,103.1,0,0.96
Foggy Cove,MID,Algae,Unknown.crust,0.0125,64,103.1,0,0.96
Foggy Cove,MID,Algae,Analipus.japonicus,0.00625,65,103.1,0,0.96
Foggy Cove,MID,Algae,Antithamnion.defectum,0.00625,66,103.1,0,0.96
Foggy Cove,MID,Algae,Bossiella.frondifera,0.00625,67,103.1,0,0.96
Foggy Cove,MID,Algae,Cladophora.columbiana,0.00625,68,103.1,0,0.96
Foggy Cove,MID,Algae,Melobesia.sp.,0.00625,69,103.1,0,0.96
Foggy Cove,MID,Algae,Polysiphonia.hendryi.var..hendryi,0.00625,70,103.1,0,0.96
Foggy Cove,MID,Algae,Polysiphonia.pacifica,0.00625,71,103.1,0,0.96
Foggy Cove,MID,Algae,Ptilota.filicina,0.00625,72,103.1,0,0.96
Foggy Cove,MID,Algae,articulated.coralline,0.003125,73,103.1,0,0.96
Foggy Cove,MID,Animal,Barnacle,3.1875,1,103.1,0.03,1
Foggy Cove,MID,Animal,Anemone,0.1125,2,103.1,0,1
Foggy Cove,MID,Animal,Tube.worms,0.0875,3,103.1,0,1
Foggy Cove,MID,Animal,Anthopleura.sp.,0.0625,4,103.1,0,1
Foggy Cove,MID,Animal,Halichondria.panicea,0.05,5,103.1,0,1
Foggy Cove,MID,Animal,Tunicata/Porifera,0.05,6,103.1,0,1
Foggy Cove,MID,Animal,Halichondria,0.025,7,103.1,0,1
Foggy Cove,MID,Animal,Bryozoan,0.0125,8,103.1,0,1
Foggy Cove,MID,Animal,Spirorbidae,0.0125,9,103.1,0,1
Foggy Cove,MID,Animal,Spirorbis,0.0125,10,103.1,0,1
Foggy Cove,HIGH,Algae,Fucus.distichus,15.49375,1,48.7,0.32,0.32
Foggy Cove,HIGH,Algae,Endocladia.muricata,8.8875,2,48.7,0.18,0.5
Foggy Cove,HIGH,Algae,Pyropia.perforata,2.41875,3,48.7,0.05,0.55
Foggy Cove,HIGH,Algae,Gloiopeltis.furcata,2.35,4,48.7,0.05,0.6
Foggy Cove,HIGH,Algae,Mastocarpus.sp.,2.31875,5,48.7,0.05,0.65
Foggy Cove,HIGH,Algae,Hildenbrandia.sp.,1.975,6,48.7,0.04,0.69
Foggy Cove,HIGH,Algae,Petrocelis,1.40625,7,48.7,0.03,0.72
Foggy Cove,HIGH,Algae,Elachista.fucicola,0.53125,8,48.7,0.01,0.73
Foggy Cove,HIGH,Algae,Chamberlainium.tumidum,0.3875,9,48.7,0.01,0.73
Foggy Cove,HIGH,Algae,Phyllospadix.scouleri,0.35625,10,48.7,0.01,0.74
Foggy Cove,HIGH,Algae,Ahnfeltia.fastigiata,0.15,11,48.7,0,0.74
Foggy Cove,HIGH,Algae,Neorhodomela.oregona,0.14375,12,48.7,0,0.75
Foggy Cove,HIGH,Algae,Ralfsioid,0.1375,13,48.7,0,0.75
Foggy Cove,HIGH,Algae,Cladophora.columbiana,0.11875,14,48.7,0,0.75
Foggy Cove,HIGH,Algae,Pyropia.fucicola,0.1125,15,48.7,0,0.76
Foggy Cove,HIGH,Algae,coralline.crust,0.0875,16,48.7,0,0.76
Foggy Cove,HIGH,Algae,Erythrotrichia.carnea,0.0625,17,48.7,0,0.76
Foggy Cove,HIGH,Algae,Cryptosiphonia.woodii,0.05,18,48.7,0,0.76
Foggy Cove,HIGH,Algae,Lithothamnion.phymatodeum,0.025,19,48.7,0,0.76
Foggy Cove,HIGH,Algae,Neorhodomela.larix,0.025,20,48.7,0,0.76
Foggy Cove,HIGH,Algae,Pyropia.abbottiae,0.025,21,48.7,0,0.76
Foggy Cove,HIGH,Algae,Lithophyllum.impressum,0.01875,22,48.7,0,0.76
Foggy Cove,HIGH,Algae,Mazzaella.oregona,0.0125,23,48.7,0,0.76
Foggy Cove,HIGH,Algae,Prionitis.sternbergii,0.0125,24,48.7,0,0.76
Foggy Cove,HIGH,Algae,Pyropia.fallax,0.0125,25,48.7,0,0.76
Foggy Cove,HIGH,Algae,Scytosiphon.lomentaria,0.0125,26,48.7,0,0.76
Foggy Cove,HIGH,Algae,Crusticorallina.muricata,0.00625,27,48.7,0,0.76
Foggy Cove,HIGH,Algae,Halosaccion.glandiforme,0.00625,28,48.7,0,0.76
Foggy Cove,HIGH,Algae,Leathesia.marina,0.00625,29,48.7,0,0.76
Foggy Cove,HIGH,Algae,Neorhodomela.aculeata,0.00625,30,48.7,0,0.76
Foggy Cove,HIGH,Algae,Soranthera.ulvoidea,0.00625,31,48.7,0,0.76
Foggy Cove,HIGH,Algae,Unknown.red.blade,0.00625,32,48.7,0,0.76
Foggy Cove,HIGH,Algae,Wildmania.norrisii,0.00625,33,48.7,0,0.76
Foggy Cove,HIGH,Animal,Barnacle,11.2875,1,48.7,0.23,0.99
Foggy Cove,HIGH,Animal,Anemone,0.125,2,48.7,0,1
Foggy Cove,HIGH,Animal,Mytilus.sp.,0.075,3,48.7,0,1
Foggy Cove,HIGH,Animal,Anthopleura.sp.,0.0625,4,48.7,0,1
North Beach,LOW,Algae,Hedophyllum.sessile,46.225,1,178.9,0.26,0.26
North Beach,LOW,Algae,Alaria.marginata,31.05,2,178.9,0.17,0.43
North Beach,LOW,Algae,Hildenbrandia.sp.,11.225,3,178.9,0.06,0.49
North Beach,LOW,Algae,Corallina.vancouveriensis,10.23125,4,178.9,0.06,0.55
North Beach,LOW,Algae,Bossiella.frondifera,9.1,5,178.9,0.05,0.6
North Beach,LOW,Algae,Phyllospadix.scouleri,5.525,6,178.9,0.03,0.63
North Beach,LOW,Algae,Odonthalia.floccosa,5.4375,7,178.9,0.03,0.66
North Beach,LOW,Algae,Mazzaella.splendens,5.0375,8,178.9,0.03,0.69
North Beach,LOW,Algae,coralline.crust,3.86875,9,178.9,0.02,0.71
North Beach,LOW,Algae,Scytosiphon.dotyi,3.71875,10,178.9,0.02,0.73
North Beach,LOW,Algae,Plocamium.violaceum,3.6,11,178.9,0.02,0.75
North Beach,LOW,Algae,Hymenena.sp.,3.41875,12,178.9,0.02,0.77
North Beach,LOW,Algae,Chamberlainium.tumidum,2.70625,13,178.9,0.02,0.79
North Beach,LOW,Algae,Bossiella.sp.5.chiloensis,1.9625,14,178.9,0.01,0.8
North Beach,LOW,Algae,Bossiella.reptans,1.9125,15,178.9,0.01,0.81
North Beach,LOW,Algae,Corallina.sp.1.frondescens,1.8125,16,178.9,0.01,0.82
North Beach,LOW,Algae,Bossiella.frondescens,1.7125,17,178.9,0.01,0.83
North Beach,LOW,Algae,Lithothamnion.phymatodeum,1.59375,18,178.9,0.01,0.84
North Beach,LOW,Algae,Corallina.frondescens,1.3375,19,178.9,0.01,0.85
North Beach,LOW,Algae,Petrocelis,1.3375,20,178.9,0.01,0.85
North Beach,LOW,Algae,Microcladia.borealis,1.1875,21,178.9,0.01,0.86
North Beach,LOW,Algae,Hedophyllum.nigripes,1.11875,22,178.9,0.01,0.87
North Beach,LOW,Algae,Costaria.costata,1.1125,23,178.9,0.01,0.87
North Beach,LOW,Algae,Codium.setchellii,1.075,24,178.9,0.01,0.88
North Beach,LOW,Algae,Corallina.officinalis,0.9375,25,178.9,0.01,0.88
North Beach,LOW,Algae,Neopolyporolithon.reclinatum,0.8875,26,178.9,0,0.89
North Beach,LOW,Algae,Mazzaella.oregona,0.75,27,178.9,0,0.89
North Beach,LOW,Algae,Lithophyllum.sp..1,0.73125,28,178.9,0,0.9
North Beach,LOW,Algae,Pyropia.abbottiae,0.69375,29,178.9,0,0.9
North Beach,LOW,Algae,Crusticorallina.muricata,0.65,30,178.9,0,0.91
North Beach,LOW,Algae,Mastocarpus.sp.,0.6375,31,178.9,0,0.91
North Beach,LOW,Algae,Ectocarpus.commensalis,0.63125,32,178.9,0,0.91
North Beach,LOW,Algae,Callithamnion.pikeanum,0.61875,33,178.9,0,0.92
North Beach,LOW,Algae,Fucus.distichus,0.59375,34,178.9,0,0.92
North Beach,LOW,Algae,Peyssonnelia.sp.,0.5625,35,178.9,0,0.92
North Beach,LOW,Algae,Calliarthron.tuberculosum,0.48125,36,178.9,0,0.92
North Beach,LOW,Algae,Bossiella.mayae,0.45,37,178.9,0,0.93
North Beach,LOW,Algae,Ralfsioid,0.4375,38,178.9,0,0.93
North Beach,LOW,Algae,Bossiella.exarticulata,0.4,39,178.9,0,0.93
North Beach,LOW,Algae,Polyneura.latissima,0.4,40,178.9,0,0.93
North Beach,LOW,Algae,Plocamium.pacificum,0.39375,41,178.9,0,0.94
North Beach,LOW,Algae,Bossiella.hakaiensis,0.375,42,178.9,0,0.94
North Beach,LOW,Algae,Bossiella.manzae,0.35,43,178.9,0,0.94
North Beach,LOW,Algae,Opuntiella.californica,0.3375,44,178.9,0,0.94
North Beach,LOW,Algae,Acrosiphonia.coalita,0.275,45,178.9,0,0.94
North Beach,LOW,Algae,Bossiella.sp.4.chiloensis,0.275,46,178.9,0,0.95
North Beach,LOW,Algae,Chiharaea.silvae,0.275,47,178.9,0,0.95
North Beach,LOW,Algae,Colpomenia.bullosa,0.2625,48,178.9,0,0.95
North Beach,LOW,Algae,Smithora.naiadum,0.21875,49,178.9,0,0.95
North Beach,LOW,Algae,Schizymenia.pacifica,0.2125,50,178.9,0,0.95
North Beach,LOW,Algae,Bossiella.sp..(crust),0.2,51,178.9,0,0.95
North Beach,LOW,Algae,Chiharaea.rhododactyla,0.19375,52,178.9,0,0.95
North Beach,LOW,Algae,Bossiella.flexulosa,0.1875,53,178.9,0,0.95
North Beach,LOW,Algae,Halosaccion.glandiforme,0.175,54,178.9,0,0.96
North Beach,LOW,Algae,Prionitis.sternbergii,0.16875,55,178.9,0,0.96
North Beach,LOW,Algae,Lithophyllum.sp.,0.1625,56,178.9,0,0.96
North Beach,LOW,Algae,Ulva.fenestrata,0.1625,57,178.9,0,0.96
North Beach,LOW,Algae,Unknown.crust,0.1625,58,178.9,0,0.96
North Beach,LOW,Algae,Desmarestia.ligulata,0.15625,59,178.9,0,0.96
North Beach,LOW,Algae,Lithophyllum.sp..2,0.15625,60,178.9,0,0.96
North Beach,LOW,Algae,Pyropia.perforata,0.15625,61,178.9,0,0.96
North Beach,LOW,Algae,Bossiella.plumosa,0.15,62,178.9,0,0.96
North Beach,LOW,Algae,Leathesia.marina,0.15,63,178.9,0,0.96
North Beach,LOW,Algae,Endocladia.muricata,0.1375,64,178.9,0,0.96
North Beach,LOW,Algae,Acrosiphonia.arcta,0.13125,65,178.9,0,0.96
North Beach,LOW,Algae,Pyropia.gardneri,0.13125,66,178.9,0,0.97
North Beach,LOW,Algae,Salishia.firma,0.13125,67,178.9,0,0.97
North Beach,LOW,Algae,Corallina.sp.,0.125,68,178.9,0,0.97
