UID,Year,quadrat,Shore_height_cm,Quadrat,meter.point,transect,Meter.point,Acrosiphonia,Ahnfeltia.fastigiata,Alaria.marginata,Analipus.japonicus,Antithamnion.defectum,Antithamnionella.spp.,Bangia.sp.,Blidingia,Bossiella_articulate,Calliarthron.tuberculosum,Callithamnion.pikeanum,Callophyllis.sp.,Ceramium.codicola,Ceramium.pacificum,Chaetomorpha.cannabina,Chamberlainium.tumidum,Chiharaea.rhododactyla,Chiharaea.silvae,Cladophora.columbiana,Cladophora.sericea,Codium.fragile,Codium.setchellii,Collinsiella.tuberculata,Colpomenia.peregrina,Corallina,coralline.crust,Costaria.costata,Cryptosiphonia.woodii,Cumathamnion.decipiens,Dactylosiphon.bullosus,Desmarestia.aculeata,Desmarestia.ligulata,Dilsea.californica,Ectocarpus.commensalis,Ectocarpus.sp.,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Erythrotrichia.carnea,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.nigripes,Hedophyllum.sessile,Herposiphonia.plumula,Hildenbrandia,Hymenena.spp.,Johansenia.macmillanii,Laminaria.setchellii,Laminaria.yezoensis,Leathesia.marina,Lithothamnion.glaciale,Lithothamnion.phymatodeum,Lomentaria.hakodatensis,Mastocarpus,Mazzaella.oregona,Mazzaella.parksii,Mazzaella.parvula,Mazzaella.splendens,Melanosiphon.intestinalis,Melobesia.sp.,Mesophyllum.vancouveriense,Microcladia.borealis,Monostroma.grevillei,Nemalion.helminthoides,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.aculeata,Neorhodomela.larix,Neorhodomela.oregona,Nereocystis.luetkeana,Odonthalia.floccosa,Odonthalia.floccosa.f..comosa,Opuntiella.californica,Osmundea.spectabilis,Palmaria.hecatensis,Palmaria.mollis,Petrocelis,Peyssonnelia.sp.,Phyllospadix.spp.,Plocamium.pacificum,Plocamium.violaceum,Polyneura.latissima,Polysiphonia,Prionitis,Pterocladiella.caloglossoides,Pterygophora.californica,Ptilota.filicina,Pylaiella.littoralis,Pyropia,Ralfsioid,Rhizoclonium.tortuosum,Rhodochorton.purpureum,Salishia.firma,Savoiea.robusta,Schizymenia.pacifica,Scytosiphon.dotyi,Scytosiphon.lomentaria,Smithora.naiadum,Soranthera.ulvoidea,Sphacelaria.rigidula,Symphyocladiella.dendroidea,Tokidadendron.bullatum,Ulva,Unknown.crust,elev.var,localrich
Fifth Beach MID 2012 1,2012,Fifth Beach MID 2,236,1,2,Fifth Beach MID,2,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,40,0,0,8,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2251808566609138,15
Fifth Beach MID 2012 10,2012,Fifth Beach MID 28,NA,10,28,Fifth Beach MID,28,11,0,0,0,0,0,0,0,1.5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2743950729172619,11
Fifth Beach MID 2012 2,2012,Fifth Beach MID 4,221,2,4,Fifth Beach MID,4,3,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,26,0,15,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3007286163345476,14
Fifth Beach MID 2012 3,2012,Fifth Beach MID 8,209,3,8,Fifth Beach MID,8,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,70,0,4,0,0,0,70,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21638690500258986,11
Fifth Beach MID 2012 4,2012,Fifth Beach MID 9,203,4,9,Fifth Beach MID,9,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,50,0,2,0,0,0,45,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.17197379274291633,11
Fifth Beach MID 2012 5,2012,Fifth Beach MID 10,209,5,10,Fifth Beach MID,10,0.5,0,25,1,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,8,0,18,0,0,0,40,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.19113499440916912,15
Fifth Beach MID 2012 6,2012,Fifth Beach MID 12,234,6,12,Fifth Beach MID,12,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,45,0.5,2,0,0,0,10,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.20314490097671278,12
Fifth Beach MID 2012 7,2012,Fifth Beach MID 14,224,7,14,Fifth Beach MID,14,0,0,28,0,0,0,0,0,2,0,0.5,0,0,0,0,22,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0.5,5,0,0,30,0,9,0,0,0,50,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,5,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.2878604268632341,21
Fifth Beach MID 2012 8,2012,Fifth Beach MID 23,242,8,23,Fifth Beach MID,23,0.25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20797872923743474,12
Fifth Beach MID 2012 9,2012,Fifth Beach MID 26,259,9,26,Fifth Beach MID,26,3.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22816810867192133,10
Fifth Beach MID 2013 1,2013,Fifth Beach MID 2,236,1,2,Fifth Beach MID,2,0,0,53,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,20,0,0,23,0,0.5,5,0,0,0,0,2,0,0,0,0,0,0,0,1.5,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5,0,0,4,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3862379890786867,19
Fifth Beach MID 2013 10,2013,Fifth Beach MID 26,259,10,26,Fifth Beach MID,26,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2794381451960798,10
Fifth Beach MID 2013 2,2013,Fifth Beach MID 3,198,2,3,Fifth Beach MID,3,0,0,48,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0.5,5,0,0,0,0,6,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,7,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39157887761913446,19
Fifth Beach MID 2013 3,2013,Fifth Beach MID 4,221,3,4,Fifth Beach MID,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,50,0,0.5,0,0,0,5,0,0,0,0,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.16768956420461645,11
Fifth Beach MID 2013 4,2013,Fifth Beach MID 10,209,4,10,Fifth Beach MID,10,0.5,0,75,0,0,0,0,0,3,0,0.5,0,0,0,0,6,0,0,0,0,0,0.5,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,10,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,50,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.28287791826194747,20
Fifth Beach MID 2013 5,2013,Fifth Beach MID 13,234,5,13,Fifth Beach MID,13,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20190431394434466,14
Fifth Beach MID 2013 6,2013,Fifth Beach MID 14,224,6,14,Fifth Beach MID,14,2,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,18,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,45,0,2,0,0,0,40,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1.5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.19259945126812034,19
Fifth Beach MID 2013 7,2013,Fifth Beach MID 17,210,7,17,Fifth Beach MID,17,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,4,0,3,24,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,20,0,0,0,4,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.36986134150912475,19
Fifth Beach MID 2013 8,2013,Fifth Beach MID 18,225,8,18,Fifth Beach MID,18,3,0,25,0,0,0,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,18,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.34534576518514776,18
Fifth Beach MID 2013 9,2013,Fifth Beach MID 19,231,9,19,Fifth Beach MID,19,2,0,28,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0.5,0,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,30,0.5,0,0,0,2,0,0.5,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0.28472327233707323,20
Foggy Cove HIGH 2012 1,2012,Foggy Cove HIGH 1,239,1,1,Foggy Cove HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,12,3,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13229272802486103,8
Foggy Cove HIGH 2012 10,2012,Foggy Cove HIGH 39,293,10,39,Foggy Cove HIGH,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11243859241983262,3
Foggy Cove HIGH 2012 2,2012,Foggy Cove HIGH 4,240,2,4,Foggy Cove HIGH,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0,0,50,0,0,0,0,0,25,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10071286364402399,8
Foggy Cove HIGH 2012 3,2012,Foggy Cove HIGH 11,234,3,11,Foggy Cove HIGH,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11729428770526429,7
Foggy Cove HIGH 2012 4,2012,Foggy Cove HIGH 13,248,4,13,Foggy Cove HIGH,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05045672514444073,6
Foggy Cove HIGH 2012 5,2012,Foggy Cove HIGH 22,218,5,22,Foggy Cove HIGH,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13229272802486103,8
Foggy Cove HIGH 2012 6,2012,Foggy Cove HIGH 26,200,6,26,Foggy Cove HIGH,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,1,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.2406496928744068,12
Foggy Cove HIGH 2012 7,2012,Foggy Cove HIGH 29,320,7,29,Foggy Cove HIGH,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13360549641431388,5
Foggy Cove HIGH 2012 8,2012,Foggy Cove HIGH 30,320,8,30,Foggy Cove HIGH,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1302469781549824,10
Foggy Cove HIGH 2012 9,2012,Foggy Cove HIGH 32,264,9,32,Foggy Cove HIGH,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18443172622493734,3
Foggy Cove HIGH 2013 1,2013,Foggy Cove HIGH 4,240,1,4,Foggy Cove HIGH,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,40,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10391795456159941,7
Foggy Cove HIGH 2013 10,2013,Foggy Cove HIGH 39,293,10,39,Foggy Cove HIGH,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,50,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13686304410433908,5
Foggy Cove HIGH 2013 2,2013,Foggy Cove HIGH 15,242,2,15,Foggy Cove HIGH,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,40,9,0,0,0,0,5,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10875879278924938,8
Foggy Cove HIGH 2013 3,2013,Foggy Cove HIGH 16,260,3,16,Foggy Cove HIGH,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,11,0,0,72,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10391795456159941,7
Foggy Cove HIGH 2013 4,2013,Foggy Cove HIGH 17,234,4,17,Foggy Cove HIGH,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27,0,0,40,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13229272802486103,8
Foggy Cove HIGH 2013 5,2013,Foggy Cove HIGH 19,240,5,19,Foggy Cove HIGH,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,25,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11729428770526429,7
Foggy Cove HIGH 2013 6,2013,Foggy Cove HIGH 27,223,6,27,Foggy Cove HIGH,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,8,4,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1281083898943156,8
Foggy Cove HIGH 2013 7,2013,Foggy Cove HIGH 31,325,7,31,Foggy Cove HIGH,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0,0,22,32,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12227788634045517,6
Foggy Cove HIGH 2013 8,2013,Foggy Cove HIGH 32,264,8,32,Foggy Cove HIGH,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18443172622493734,3
Foggy Cove HIGH 2013 9,2013,Foggy Cove HIGH 34,270,9,34,Foggy Cove HIGH,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10515108401794826,5
Foggy Cove LOW 2012 1,2012,Foggy Cove LOW 2,90,1,2,Foggy Cove LOW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,20,0,5,0,0,0,0,2,0,0,0,0,0,0,0,18,0,4,0,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,2,0,0,4,0,0,40,0,0,0,0,0,0,0,0,2,0,35,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3483298874296425,18
Foggy Cove LOW 2012 10,2012,Foggy Cove LOW 33,135,10,33,Foggy Cove LOW,33,0.5,0,35,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3,6,0,10,0,0,0,0,2,0,0,0,0,0,0,0.5,10,0,2,0,0,0,0,0,0,0,0,4,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,3,0,0,35,0,0,0,0,0,0,0,0,0.5,0,20,0,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.3158858571541036,21
Foggy Cove LOW 2012 2,2012,Foggy Cove LOW 6,107,2,6,Foggy Cove LOW,6,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,1,7,0,0,0,0,0,0,15,0,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.3844463450136446,17
Foggy Cove LOW 2012 3,2012,Foggy Cove LOW 7,68,3,7,Foggy Cove LOW,7,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.3501054864973964,15
Foggy Cove LOW 2012 4,2012,Foggy Cove LOW 14,75,4,14,Foggy Cove LOW,14,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,4,20,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,10,0,0.5,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0,10,0,0,0.5,0,0,2,15,0,0,0,0,0,0.5,12,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.32180934607855494,23
