UID,Year,Site,Zone,Quadrat,Meter.point,Acrosiphonia,Ahnfeltia.fastigiata,Alaria.marginata,Analipus.japonicus,Anemone,Antithamnion.defectum,Bangia.sp.,Barnacles,Blidingia,Bossiella.articulate,Bryozoan,Calliarthron.tuberculosum,Callithamnion.pikeanum,Callophyllis.sp.,Ceramium.codicola,Ceramium.pacificum,Chaetomorpha,Chamberlainium.tumidum,Chiharaea.rhododactyla,Chiharaea.silvae,Cladophora.columbiana,Cladophora.sericea,Codium.fragile,Codium.setchellii,Collinsiella.tuberculata,Colpomenia.peregrina,Corallina,coralline.crust,Costaria.costata,Cryptosiphonia.woodii,Cumathamnion.decipiens,Dactylosiphon.bullosus,Desmarestia.aculeata,Desmarestia.ligulata,Devaleraea.mollis,Dilsea.californica,Ectocarpus.commensalis,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Erythrotrichia.carnea,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.nigripes,Hedophyllum.sessile,Herposiphonia.plumula,Hildenbrandia,Hydroid,Hymenena.spp.,Johansenia.macmillanii,Laminaria.setchellii,Laminaria.yezoensis,Leathesia.marina,Lithothamnion.glaciale,Lithothamnion.phymatodeum,Lomentaria.hakodatensis,Mastocarpus,Mazzaella.oregona,Mazzaella.parksii,Mazzaella.parvula,Mazzaella.splendens,Melanosiphon.intestinalis,Melobesia.mediocris,Mesophyllum.vancouveriense,Microcladia.borealis,Monostroma,Mytilus.sp.,Nemalion.helminthoides,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neoporphyra.perforata,Neopyropia.fucicola,Neorhodomela.aculeata,Neorhodomela.larix,Neorhodomela.oregona,Nereocystis.luetkeana,Odonthalia.floccosa,Odonthalia.floccosa.f..comosa,Opuntiella.californica,Osmundea.spectabilis,Palmaria.hecatensis,Petrocelis,Peyssonnelia.sp.,Phyllospadix.spp.,Plocamium.pacificum,Plocamium.violaceum,Pododesmus.sp.,Pollicipes.polymerus,Polyneura.latissima,Polysiphonia,Prionitis,Pterocladiella.caloglossoides,Pterygophora.californica,Ptilota.filicina,Pylaiella.littoralis,Pyropia/Neoporphyra/Porphyrella,Ralfsioid,Rhizoclonium.tortuosum,Rhodochorton.purpureum,Salishia.firma,Savoiea.robusta,Schizymenia.pacifica,Scytosiphon.dotyi,Scytosiphon.lomentaria,Smithora.naiadum,Soranthera.ulvoidea,Sphacelaria.rigidula,Symphyocladiella.dendroidea,Tokidadendron.bullatum,Tube.worm,Tube.worms,Tunicata/Porifera,Ulva,Wildemania,Date,Sampler,Recorder,Bedrock,Boulder,Cobble,Sand.Gravel.Pebble,Water,SiteHeightYear,SUBSTRATE.ROCK,SUBSTRATE.SAND,WATER,Pebble,SAND.SCOUR,SUBSTRATE.Clam.shell,Shore_height_cm,Lat,Long
Fifth Beach HIGH 2012 9,2012,Fifth Beach,HIGH,9,25,1,0,5,0,0,0,0,20,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,3.5,0,25,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1.5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0.5,4,2012-07-05,JJ,LA,NA,NA,NA,NA,NA,Fifth Beach HIGH 2012,NA,NA,NA,NA,NA,NA,369,51.6406859914037,-128.156862332892
Fifth Beach HIGH 2013 1,2013,Fifth Beach,HIGH,1,2,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2013-05-26,PTM,PTM,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,96,4,0,NA,NA,NA,350,51.6407881212247,-128.156573335008
Fifth Beach HIGH 2013 10,2013,Fifth Beach,HIGH,10,28,0.5,0,0,0,0,0,0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2013-05-26,PTM,PTM,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,100,0,0,NA,NA,NA,336,51.6406726665508,-128.156900028112
Fifth Beach HIGH 2013 2,2013,Fifth Beach,HIGH,2,5,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013-05-26,SS,KH,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,100,0,0,NA,NA,NA,370,51.640774805456,-128.156611030231
Fifth Beach HIGH 2013 3,2013,Fifth Beach,HIGH,3,12,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,2013-05-26,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,NA,NA,NA,NA,NA,NA,315,51.6407437143072,-128.156698986535
Fifth Beach HIGH 2013 4,2013,Fifth Beach,HIGH,4,16,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2013-05-26,SS,KH,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,100,0,0,NA,NA,NA,348,51.6407259568986,-128.156749247266
Fifth Beach HIGH 2013 5,2013,Fifth Beach,HIGH,5,19,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,6,6,0,0,60,0,1,0,0,0,90,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,2013-05-26,SS,KH,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,100,0,0,NA,NA,NA,283,51.6407126320824,-128.156786942552
Fifth Beach HIGH 2013 6,2013,Fifth Beach,HIGH,6,20,13,0,4,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2013-05-26,PTM,PTM,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,100,0,0,NA,NA,NA,312,51.6407081904673,-128.156799506679
Fifth Beach HIGH 2013 7,2013,Fifth Beach,HIGH,7,22,1,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2013-05-26,KH,SS,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,100,0,12,NA,NA,NA,337,51.6406993072539,-128.156824637816
Fifth Beach HIGH 2013 8,2013,Fifth Beach,HIGH,8,26,0.5,0,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,18,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,23,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,8,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2013-05-26,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,NA,NA,NA,NA,NA,NA,335,51.6406815497805,-128.156874897005
Fifth Beach HIGH 2013 9,2013,Fifth Beach,HIGH,9,27,0.5,0,1,0,0,0,0,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.5,0,0,0,0,0,5,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-05-26,KH,SS,NA,NA,NA,NA,NA,Fifth Beach HIGH 2013,100,0,0.5,NA,NA,NA,349,51.6406771081663,-128.15688746256
Fifth Beach HIGH 2014 1,2014,Fifth Beach,HIGH,1,2,0.5,0,0,0,2,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,7,0,0,9,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,2014-06-14,SMS,JMB,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,95,5,6,NA,6,NA,350,51.6407881212247,-128.156573335008
Fifth Beach HIGH 2014 10,2014,Fifth Beach,HIGH,10,25,1,0,0,0,0,0,0,40,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,1.5,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-14,KRH,OCP,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,100,NA,NA,NA,NA,NA,369,51.6406859914037,-128.156862332892
Fifth Beach HIGH 2014 2,2014,Fifth Beach,HIGH,2,4,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-14,KRH,OCP,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,100,NA,NA,NA,NA,NA,381,51.6407792380602,-128.156598466234
Fifth Beach HIGH 2014 3,2014,Fifth Beach,HIGH,3,5,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-14,KRH,OCP,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,100,NA,NA,NA,NA,NA,370,51.640774805456,-128.156611030231
Fifth Beach HIGH 2014 4,2014,Fifth Beach,HIGH,4,6,0.5,0,0,0,8,0,0,2,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,1,0,0,65,0,0.5,0,0,0,55,0,0,0,0,0,0,0,0,0,14.5,10,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,2014-06-14,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,100,0.5,0,NA,NA,NA,280,51.6407703638704,-128.156623595837
Fifth Beach HIGH 2014 5,2014,Fifth Beach,HIGH,5,7,4,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,34,0,0,0,0,0,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,6,0,2014-06-14,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,78,22,12,NA,NA,NA,248,51.6407659222834,-128.156636161441
Fifth Beach HIGH 2014 6,2014,Fifth Beach,HIGH,6,13,0.5,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,55,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014-06-14,SMS,JMB,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,100,NA,NA,NA,NA,NA,311,51.6407392727121,-128.156711552124
Fifth Beach HIGH 2014 7,2014,Fifth Beach,HIGH,7,15,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0.5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0.5,0,0,23,0,14,0,0,0,10,0,0,0,0,0,1,0,0,0,6,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,24,0,2014-06-14,SMS,JMB,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,100,6,8,NA,NA,NA,243,51.6407303984978,-128.156736681684
Fifth Beach HIGH 2014 8,2014,Fifth Beach,HIGH,8,19,3,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,24,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,14.5,6,13,0,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2014-06-14,KRH,OCP,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,100,NA,NA,NA,NA,NA,283,51.6407126320824,-128.156786942552
Fifth Beach HIGH 2014 9,2014,Fifth Beach,HIGH,9,21,9,0,8,0,3,0,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014-06-14,SMS,JMB,NA,NA,NA,NA,NA,Fifth Beach HIGH 2014,100,NA,NA,NA,NA,NA,319,51.6407037488613,-128.156812072249
Fifth Beach HIGH 2015 1,2015,Fifth Beach,HIGH,1,3,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2015-06-16,SS,LML,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,3,0,NA,NA,NA,345,51.6407836796431,-128.156585900622
Fifth Beach HIGH 2015 10,2015,Fifth Beach,HIGH,10,27,0,0,2,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,6,2015-06-16,PTM,PTM,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,0,0,NA,NA,NA,349,51.6406771081663,-128.15688746256
Fifth Beach HIGH 2015 2,2015,Fifth Beach,HIGH,2,4,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-16,PTM,PTM,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,0,0,NA,NA,NA,381,51.6407792380602,-128.156598466234
Fifth Beach HIGH 2015 3,2015,Fifth Beach,HIGH,3,5,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-06-16,PTM,PTM,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,0,0,NA,NA,NA,370,51.640774805456,-128.156611030231
Fifth Beach HIGH 2015 4,2015,Fifth Beach,HIGH,4,7,3,0,0,0,10,0,0,7,0,1,0,0,0,0,0,0,0,24,0,0,0.5,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0,0,2,0.5,0,0,45,0,2,0,0,0,35,0,0,0,0,0,0.5,0,0,0,2.5,2,0,0.5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,0,0,0.5,0,0,0,0,0,0,0,0,1,0,2015-06-16,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,2,5,NA,NA,NA,248,51.6407659222834,-128.156636161441
Fifth Beach HIGH 2015 5,2015,Fifth Beach,HIGH,5,8,0,0,0,0,0.5,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015-06-16,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,0,0,NA,NA,NA,326,51.6407614806847,-128.156648725598
Fifth Beach HIGH 2015 6,2015,Fifth Beach,HIGH,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-16,LML,SS,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,0,0,NA,NA,NA,278,51.6407348400957,-128.156724116099
Fifth Beach HIGH 2015 7,2015,Fifth Beach,HIGH,7,17,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.5,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-16,PTM,PTM,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,0,0,NA,NA,NA,338,51.6407215152876,-128.1567618114
Fifth Beach HIGH 2015 8,2015,Fifth Beach,HIGH,8,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7.5,0.5,1,0,0,0,10,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2015-06-16,LML,SS,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,0,0,NA,NA,NA,313,51.6407170736857,-128.156774376977
Fifth Beach HIGH 2015 9,2015,Fifth Beach,HIGH,9,26,0,0,0,0,4,0,0,58,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,0,1.5,1,0,0.5,0,0,0,0,3,0,2,0.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,7,0,0,0,0,16,0,0.5,0,0,0,0,0,0,0,0,0,3,1,2015-06-16,SS,LML,NA,NA,NA,NA,NA,Fifth Beach HIGH 2015,100,0,0,NA,NA,NA,335,51.6406815497805,-128.156874897005
Fifth Beach HIGH 2016 1,2016,Fifth Beach,HIGH,1,3,0,0,0,0,4,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2016-06-07,SCL,SCL,100,NA,NA,NA,NA,Fifth Beach HIGH 2016,NA,NA,0.5,NA,NA,NA,345,51.6407836796431,-128.156585900622
Fifth Beach HIGH 2016 10,2016,Fifth Beach,HIGH,10,23,0,0,0,0,3,0,0,43,0,1,0,0,0.5,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-06-07,SCL,SCL,100,NA,NA,NA,NA,Fifth Beach HIGH 2016,NA,NA,2,NA,NA,NA,356,51.6406948656347,-128.156837201936
Fifth Beach HIGH 2016 2,2016,Fifth Beach,HIGH,2,5,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2016-06-07,SCL,SCL,100,NA,NA,NA,NA,Fifth Beach HIGH 2016,NA,NA,NA,NA,NA,NA,370,51.640774805456,-128.156611030231
Fifth Beach HIGH 2016 3,2016,Fifth Beach,HIGH,3,8,1,0,0,0,1.5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2016-06-07,SS,Andrew,100,NA,NA,NA,NA,Fifth Beach HIGH 2016,NA,NA,NA,NA,NA,NA,326,51.6407614806847,-128.156648725598
