UID,Taxon,Abundance,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,funct_2021,flag
Fifth Beach MID 2011 3,Callithamnion pikeanum,3,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 3,Chamberlainium tumidum,9,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach MID 2011 3,Corallina frondescens,2,Corallina frondescens,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 3,Corallina vancouveriensis,18,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 3,Endocladia muricata,7,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 3,Fucus distichus,3,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach MID 2011 3,Halosaccion glandiforme,6,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 3,Hildenbrandia sp.,11,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 3,Lithothamnion phymatodeum,2,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Lithothamnion phymatodeum,Algae,sessile,NA,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach MID 2011 3,Mastocarpus latissimus,23.5,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 3,Mastocarpus rigidus,3,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 3,Mastocarpus sp,3,Mastocarpus sp,Mastocarpus sp,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 3,Mazzaella oregona,3,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 3,Mazzaella rigidus,4.5,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 3,Microcladia borealis,0.5,Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 3,Petrocelis,5,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 3,Plocamium violaceum,6,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 3,Polyneura latissima,3,Polyneura latissima,Polyneura latissima,Polyneura latissima,Polyneura latissima,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,could also be blade
Fifth Beach MID 2011 3,Ulva lactuca,1,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach MID 2011 4,Acrosiphonia coalita,1,Acrosiphonia coalita,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 4,Acrosiphonia spp.,1,Acrosiphonia spp.,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 4,Alaria marginata,35,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Fifth Beach MID 2011 4,bare rock,1,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach MID 2011 4,Bossiella frondifera,0.5,Bossiella frondifera,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 4,Chamberlainium tumidum,5,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach MID 2011 4,Corallina vancouveriensis,12,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 4,Endocladia muricata,2,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 4,Fucus distichus,10,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach MID 2011 4,Halosaccion glandiforme,5,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 4,Hildenbrandia sp.,8,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 4,Mastocarpus latissimus,6,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 4,Mastocarpus rigidus,0.5,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 4,Mazzaella oregona,9,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 4,Mazzaella rigidus,0.5,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 4,Microcladia borealis,0.5,Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 4,Neorhodomela oregona,0.5,Neorhodomela oregona,Neorhodomela oregona,Neorhodomela oregona,Neorhodomela oregona,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 4,Petrocelis,5,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 4,Plocamium violaceum,0.5,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 4,Ptilota filicina,0.5,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 4,Pyropia perforata,0.5,Pyropia perforata,Pyropia perforata,Pyropia,Pyropia,Algae,sessile,NA,blade,sheet,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 4,Ulva lactuca,2,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach MID 2011 5,Acrosiphonia spp.,6,Acrosiphonia spp.,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 5,Alaria marginata,25,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Fifth Beach MID 2011 5,Analipus japonicus,1,Analipus japonicus,Analipus japonicus,Analipus japonicus,Analipus japonicus,Algae,sessile,NA,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 5,bare rock,3,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach MID 2011 5,Chamberlainium tumidum,5,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach MID 2011 5,Corallina frondescens,3,Corallina frondescens,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 5,Corallina vancouveriensis,10,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 5,Endocladia muricata,1,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 5,Fucus distichus,4,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach MID 2011 5,Halosaccion glandiforme,8,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 5,Hildenbrandia sp.,8,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 5,Mastocarpus latissimus,12,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 5,Mastocarpus rigidus,5,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 5,Mazzaella oregona,5,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 5,Mazzaella rigidus,5,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 5,Petrocelis,5,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 5,Plocamium violaceum,6,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 5,Ptilota filicina,1,Ptilota filicina,Ptilota filicina,Ptilota filicina,Ptilota filicina,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 5,Ulva lactuca,3,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach MID 2011 6,Acrosiphonia spp.,8,Acrosiphonia spp.,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 6,Alaria marginata,8,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Fifth Beach MID 2011 6,Analipus japonicus,2,Analipus japonicus,Analipus japonicus,Analipus japonicus,Analipus japonicus,Algae,sessile,NA,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 6,Callithamnion pikeanum,1.5,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 6,Chamberlainium tumidum,13,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach MID 2011 6,Corallina vancouveriensis,3,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 6,Endocladia muricata,10,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 6,Fucus distichus,17,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach MID 2011 6,Halosaccion glandiforme,7,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 6,Hildenbrandia sp.,39,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 6,Mastocarpus latissimus,3,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 6,Mastocarpus rigidus,3,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 6,Mazzaella oregona,4,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 6,Mazzaella rigidus,3,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 6,Nemalion helminthoides,0.5,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Algae,sessile,NA,red turf,NA,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 6,Petrocelis,8,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 6,Plocamium violaceum,3,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 6,Pyropia perforata,2.5,Pyropia perforata,Pyropia perforata,Pyropia,Pyropia,Algae,sessile,NA,blade,sheet,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 6,Ulva lactuca,6,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach MID 2011 7,Acrosiphonia spp.,4,Acrosiphonia spp.,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 7,Alaria marginata,23,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Fifth Beach MID 2011 7,Callithamnion pikeanum,5,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 7,Ceramium pacificum,2,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Algae,sessile,NA,filament,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 7,Chamberlainium tumidum,23,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach MID 2011 7,Corallina frondescens,4,Corallina frondescens,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 7,Corallina vancouveriensis,7,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 7,Endocladia muricata,1.5,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 7,Fucus distichus,2,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach MID 2011 7,Halosaccion glandiforme,6,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 7,Hildenbrandia sp.,20,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 7,Leathesia marina,3.5,Leathesia marina,Leathesia marina,Leathesia marina,Leathesia marina,Algae,sessile,NA,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 7,Mastocarpus latissimus,3,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 7,Mastocarpus rigidus,4,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 7,Mazzaella oregona,6,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 7,Mazzaella rigidus,4,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Mazzaella rigidus,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 7,Microcladia borealis,0.5,Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 7,Petrocelis,2,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 7,Plocamium violaceum,4,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 7,Ulva lactuca,3,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach MID 2011 7,Ulva linza,2,Ulva linza,Ulva linza,Ulva,Ulva,Algae,sessile,NA,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach MID 2011 8,Alaria marginata,12,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Fifth Beach MID 2011 8,bare rock,4,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach MID 2011 8,Bossiella frondifera,12,Bossiella frondifera,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 8,Callithamnion pikeanum,5,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 8,Chamberlainium tumidum,8,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach MID 2011 8,Corallina vancouveriensis,25,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 8,coralline crust,6,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,NA,crust,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach MID 2011 8,Dilsea californica,5,Dilsea californica,Dilsea californica,Dilsea californica,Dilsea californica,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 8,Halosaccion glandiforme,4,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 8,Hildenbrandia sp.,4,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 8,Leathesia marina,5,Leathesia marina,Leathesia marina,Leathesia marina,Leathesia marina,Algae,sessile,NA,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,NA
Fifth Beach MID 2011 8,Mazzaella oregona,1,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach MID 2011 8,Microcladia borealis,0.5,Microcladia borealis,Microcladia borealis,Microcladia borealis,Microcladia borealis,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 8,Petrocelis,6,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach MID 2011 8,Phyllospadix scouleri,16,Phyllospadix scouleri,Phyllospadix spp.,Phyllospadix spp.,Phyllospadix spp.,Algae,sessile,NA,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,seagrass,canopy,NA
Fifth Beach MID 2011 8,Plocamium violaceum,25,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Plocamium violaceum,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach MID 2011 8,Ulva lactuca,1,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach MID 2011 9,bare rock,15,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach MID 2011 9,Bossiella frondifera,4,Bossiella frondifera,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,NA,articulated coralline,Jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach MID 2011 9,Callithamnion pikeanum,4,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
