UID,Taxon,Abundance
Fifth Beach HIGH 2019 9,Pyropia perforata,3
Fifth Beach HIGH 2019 9,Savoiea robusta,1
Fifth Beach HIGH 2019 9,Scytosiphon dotyi,0.5
Fifth Beach LOW 2011 1,Alaria marginata,15
Fifth Beach LOW 2011 1,bare rock,15
Fifth Beach LOW 2011 1,Corallina frondescens,1
Fifth Beach LOW 2011 1,coralline crust,3
Fifth Beach LOW 2011 1,Cryptosiphonia woodii,0.5
Fifth Beach LOW 2011 1,Dilsea californica,3
Fifth Beach LOW 2011 1,Hedophyllum sessile,30
Fifth Beach LOW 2011 1,Mastocarpus latissimus,8
Fifth Beach LOW 2011 1,Mastocarpus rigidus,2
Fifth Beach LOW 2011 1,Mazzaella oregona,6
Fifth Beach LOW 2011 1,Mazzaella splendens,15
Fifth Beach LOW 2011 1,Microcladia borealis,3
Fifth Beach LOW 2011 1,Neorhodomela larix,20
Fifth Beach LOW 2011 1,Petrocelis,5
Fifth Beach LOW 2011 1,Phyllospadix scouleri,1
Fifth Beach LOW 2011 1,Polyneura latissima,0.5
Fifth Beach LOW 2011 1,Ptilota filicina,20
Fifth Beach LOW 2011 1,Pyropia perforata,1
Fifth Beach LOW 2011 1,Ulva lactuca,0.5
Fifth Beach LOW 2011 10,Alaria marginata,70
Fifth Beach LOW 2011 10,bare rock,8
Fifth Beach LOW 2011 10,Callithamnion pikeanum,0.5
Fifth Beach LOW 2011 10,Chamberlainium tumidum,8
Fifth Beach LOW 2011 10,Corallina frondescens,3
Fifth Beach LOW 2011 10,Corallina vancouveriensis,6
Fifth Beach LOW 2011 10,coralline crust,4
Fifth Beach LOW 2011 10,Endocladia muricata,2
Fifth Beach LOW 2011 10,Halosaccion glandiforme,0.5
Fifth Beach LOW 2011 10,Hildenbrandia sp.,8
Fifth Beach LOW 2011 10,Hymenena sp.,3
Fifth Beach LOW 2011 10,Mastocarpus latissimus,2
Fifth Beach LOW 2011 10,Mastocarpus rigidus,5
Fifth Beach LOW 2011 10,Mazzaella oregona,3
Fifth Beach LOW 2011 10,Mazzaella splendens,0.5
Fifth Beach LOW 2011 10,Microcladia borealis,1
Fifth Beach LOW 2011 10,Odonthalia floccosa,1
Fifth Beach LOW 2011 10,Petrocelis,6
Fifth Beach LOW 2011 10,Plocamium violaceum,6
Fifth Beach LOW 2011 10,Pyropia perforata,0.5
Fifth Beach LOW 2011 2,Callithamnion pikeanum,2
Fifth Beach LOW 2011 2,Chamberlainium tumidum,2
Fifth Beach LOW 2011 2,coralline crust,3
Fifth Beach LOW 2011 2,Cryptosiphonia woodii,4
Fifth Beach LOW 2011 2,Dilsea californica,15
Fifth Beach LOW 2011 2,Hedophyllum sessile,2
Fifth Beach LOW 2011 2,Hildenbrandia sp.,2
Fifth Beach LOW 2011 2,Mastocarpus latissimus,0.5
Fifth Beach LOW 2011 2,Mazzaella oregona,8
Fifth Beach LOW 2011 2,Mazzaella splendens,40
Fifth Beach LOW 2011 2,Microcladia borealis,4
Fifth Beach LOW 2011 2,Neorhodomela larix,4
Fifth Beach LOW 2011 2,Phyllospadix scouleri,8
Fifth Beach LOW 2011 2,Polyneura latissima,0.5
Fifth Beach LOW 2011 2,Ptilota filicina,15
Fifth Beach LOW 2011 2,Ulva lactuca,0.5
Fifth Beach LOW 2011 3,Alaria marginata,6
Fifth Beach LOW 2011 3,Callithamnion pikeanum,1
Fifth Beach LOW 2011 3,Chamberlainium tumidum,2
Fifth Beach LOW 2011 3,Corallina frondescens,1
Fifth Beach LOW 2011 3,coralline crust,2
Fifth Beach LOW 2011 3,Cryptosiphonia woodii,6
Fifth Beach LOW 2011 3,Farlowia mollis,1
Fifth Beach LOW 2011 3,Hildenbrandia sp.,5
Fifth Beach LOW 2011 3,Hymenena sp.,7
Fifth Beach LOW 2011 3,Mastocarpus rigidus,4
Fifth Beach LOW 2011 3,Mazzaella oregona,5
Fifth Beach LOW 2011 3,Mazzaella splendens,13
Fifth Beach LOW 2011 3,Neorhodomela larix,5
Fifth Beach LOW 2011 3,Odonthalia floccosa,6
Fifth Beach LOW 2011 3,Petrocelis,1
Fifth Beach LOW 2011 3,Phyllospadix scouleri,1
Fifth Beach LOW 2011 3,Plocamium violaceum,12
Fifth Beach LOW 2011 3,Ptilota filicina,9
Fifth Beach LOW 2011 3,Tokidadendron bullatum,8
Fifth Beach LOW 2011 4,Alaria marginata,35
Fifth Beach LOW 2011 4,Chamberlainium tumidum,2
Fifth Beach LOW 2011 4,Codium fragile,4
Fifth Beach LOW 2011 4,Corallina frondescens,4
Fifth Beach LOW 2011 4,coralline crust,8
Fifth Beach LOW 2011 4,Cryptosiphonia woodii,0.5
Fifth Beach LOW 2011 4,Farlowia mollis,0.5
Fifth Beach LOW 2011 4,Hedophyllum sessile,1
Fifth Beach LOW 2011 4,Hildenbrandia sp.,2
Fifth Beach LOW 2011 4,Hymenena sp.,3
Fifth Beach LOW 2011 4,Lithothamnion phymatodeum,1
Fifth Beach LOW 2011 4,Mastocarpus latissimus,3
Fifth Beach LOW 2011 4,Mazzaella oregona,2
Fifth Beach LOW 2011 4,Mazzaella splendens,15
Fifth Beach LOW 2011 4,Microcladia borealis,5
Fifth Beach LOW 2011 4,Odonthalia floccosa,5
Fifth Beach LOW 2011 4,Polyneura latissima,2
Fifth Beach LOW 2011 4,Ptilota filicina,3
Fifth Beach LOW 2011 4,Ulva lactuca,0.5
Fifth Beach LOW 2011 5,Alaria marginata,80
Fifth Beach LOW 2011 5,bare rock,20
Fifth Beach LOW 2011 5,Chamberlainium tumidum,12
Fifth Beach LOW 2011 5,Hildenbrandia sp.,0.5
Fifth Beach LOW 2011 5,Mastocarpus latissimus,3
Fifth Beach LOW 2011 5,Mastocarpus rigidus,1
Fifth Beach LOW 2011 5,Mazzaella oregona,5
Fifth Beach LOW 2011 5,Petrocelis,4
Fifth Beach LOW 2011 5,Polyneura latissima,2
Fifth Beach LOW 2011 5,Ptilota filicina,0.5
Fifth Beach LOW 2011 5,Pyropia perforata,2
Fifth Beach LOW 2011 5,Ulva lactuca,0.5
Fifth Beach LOW 2011 6,Antithamnionella pacifica,4
Fifth Beach LOW 2011 6,Callithamnion pikeanum,4
Fifth Beach LOW 2011 6,Chamberlainium tumidum,4
Fifth Beach LOW 2011 6,coralline crust,1
Fifth Beach LOW 2011 6,Cryptosiphonia woodii,3
Fifth Beach LOW 2011 6,Hildenbrandia sp.,12
Fifth Beach LOW 2011 6,Hymenena sp.,4
Fifth Beach LOW 2011 6,Mastocarpus rigidus,4
Fifth Beach LOW 2011 6,Mazzaella oregona,9
Fifth Beach LOW 2011 6,Mazzaella splendens,9
Fifth Beach LOW 2011 6,Microcladia borealis,3
Fifth Beach LOW 2011 6,Neorhodomela larix,4
Fifth Beach LOW 2011 6,Petrocelis,4
Fifth Beach LOW 2011 6,Plocamium violaceum,8
Fifth Beach LOW 2011 6,Polyneura latissima,1
Fifth Beach LOW 2011 6,Ptilota filicina,20
Fifth Beach LOW 2011 7,Alaria marginata,60
Fifth Beach LOW 2011 7,Callithamnion pikeanum,0.5
Fifth Beach LOW 2011 7,Chamberlainium tumidum,20
Fifth Beach LOW 2011 7,Corallina frondescens,0.5
Fifth Beach LOW 2011 7,Corallina vancouveriensis,3
Fifth Beach LOW 2011 7,coralline crust,3
Fifth Beach LOW 2011 7,Hildenbrandia sp.,12
Fifth Beach LOW 2011 7,Hymenena sp.,5
Fifth Beach LOW 2011 7,Lithothamnion phymatodeum,1
Fifth Beach LOW 2011 7,Mastocarpus latissimus,2
Fifth Beach LOW 2011 7,Mastocarpus rigidus,0.5
Fifth Beach LOW 2011 7,Mazzaella oregona,1
Fifth Beach LOW 2011 7,Mazzaella splendens,5
Fifth Beach LOW 2011 7,Odonthalia floccosa,3
Fifth Beach LOW 2011 7,Petrocelis,1
Fifth Beach LOW 2011 7,Plocamium violaceum,1
Fifth Beach LOW 2011 7,Pyropia perforata,0.5
Fifth Beach LOW 2011 8,Alaria marginata,65
Fifth Beach LOW 2011 8,Analipus japonicus,0.5
Fifth Beach LOW 2011 8,bare rock,20
Fifth Beach LOW 2011 8,Callithamnion pikeanum,0.5
Fifth Beach LOW 2011 8,Chamberlainium tumidum,3
Fifth Beach LOW 2011 8,Corallina frondescens,0.5
Fifth Beach LOW 2011 8,Endocladia muricata,3
Fifth Beach LOW 2011 8,Fucus distichus,1
Fifth Beach LOW 2011 8,Hildenbrandia sp.,25
Fifth Beach LOW 2011 8,Hymenena sp.,1
Fifth Beach LOW 2011 8,Mastocarpus latissimus,3
Fifth Beach LOW 2011 8,Mastocarpus rigidus,1
Fifth Beach LOW 2011 8,Mazzaella oregona,0.5
Fifth Beach LOW 2011 8,Microcladia borealis,0.5
Fifth Beach LOW 2011 8,Petrocelis,20
Fifth Beach LOW 2011 8,Plocamium violaceum,5
Fifth Beach LOW 2011 8,Pyropia perforata,3
Fifth Beach LOW 2011 9,Alaria marginata,35
Fifth Beach LOW 2011 9,Chamberlainium tumidum,2
Fifth Beach LOW 2011 9,Corallina frondescens,3
Fifth Beach LOW 2011 9,Corallina vancouveriensis,3
Fifth Beach LOW 2011 9,coralline crust,10
Fifth Beach LOW 2011 9,Endocladia muricata,2
Fifth Beach LOW 2011 9,Hildenbrandia sp.,30
Fifth Beach LOW 2011 9,Hymenena sp.,6
Fifth Beach LOW 2011 9,Mastocarpus rigidus,6
Fifth Beach LOW 2011 9,Mazzaella oregona,1
Fifth Beach LOW 2011 9,Mazzaella splendens,5
Fifth Beach LOW 2011 9,Petrocelis,3
Fifth Beach LOW 2011 9,Plocamium violaceum,0.5
Fifth Beach LOW 2011 9,Pyropia perforata,0.5
Fifth Beach LOW 2011 9,Ulva linza,0.5
Fifth Beach LOW 2012 1,Ahnfeltia fastigiata,0.5
Fifth Beach LOW 2012 1,Amphiporus,4
Fifth Beach LOW 2012 1,bare rock,3
Fifth Beach LOW 2012 1,Chamberlainium tumidum,5
Fifth Beach LOW 2012 1,Chiton,2
Fifth Beach LOW 2012 1,Corallina frondescens,2
Fifth Beach LOW 2012 1,coralline crust,0.5
Fifth Beach LOW 2012 1,Cryptosiphonia woodii,4
Fifth Beach LOW 2012 1,Dilsea californica,5
Fifth Beach LOW 2012 1,Gobiesox,1
Fifth Beach LOW 2012 1,Halosaccion glandiforme,3
Fifth Beach LOW 2012 1,Hildenbrandia occidentalis,5
Fifth Beach LOW 2012 1,Lacuna sp.,1
Fifth Beach LOW 2012 1,Leathesia marina,2
Fifth Beach LOW 2012 1,Lottia sp.,3
Fifth Beach LOW 2012 1,Mazzaella oregona,0.5
Fifth Beach LOW 2012 1,Microcladia borealis,1
Fifth Beach LOW 2012 1,Mytilus trossulus,0.5
Fifth Beach LOW 2012 1,Neopolyporolithon reclinatum,0.5
Fifth Beach LOW 2012 1,Neorhodomela larix,55
Fifth Beach LOW 2012 1,Pentidotea sp.,2
Fifth Beach LOW 2012 1,Plocamium violaceum,7
Fifth Beach LOW 2012 1,Ptilota filicina,25
Fifth Beach LOW 2012 1,Semibalanus cariosus,0.5
Fifth Beach LOW 2012 10,Alaria marginata,83
Fifth Beach LOW 2012 10,Anthopleura elegantissima,0.5
Fifth Beach LOW 2012 10,bare rock,4
Fifth Beach LOW 2012 10,Bossiella frondifera,2
Fifth Beach LOW 2012 10,Bossiella plumosa,2
Fifth Beach LOW 2012 10,Callithamnion pikeanum,1
Fifth Beach LOW 2012 10,Chamberlainium tumidum,7
Fifth Beach LOW 2012 10,Chthamalus dalli,0.5
Fifth Beach LOW 2012 10,Corallina vancouveriensis,3
Fifth Beach LOW 2012 10,coralline crust,1
Fifth Beach LOW 2012 10,Endocladia muricata,0.5
Fifth Beach LOW 2012 10,Hedophyllum sessile,10
Fifth Beach LOW 2012 10,Hildenbrandia occidentalis,3
Fifth Beach LOW 2012 10,Hymenena sp.,20
Fifth Beach LOW 2012 10,Katharina tunicata,4
Fifth Beach LOW 2012 10,Mastocarpus agardhii,8
Fifth Beach LOW 2012 10,Mastocarpus latissimus,3
Fifth Beach LOW 2012 10,Mazzaella oregona,2
Fifth Beach LOW 2012 10,Mazzaella splendens,3
Fifth Beach LOW 2012 10,Microcladia borealis,1
Fifth Beach LOW 2012 10,Pagarus sp.,1
Fifth Beach LOW 2012 10,Petrocelis,7
Fifth Beach LOW 2012 10,Plocamium violaceum,20
Fifth Beach LOW 2012 10,Pyropia perforata,1
Fifth Beach LOW 2012 10,Semibalanus cariosus,0.5
Fifth Beach LOW 2012 10,Tonicella sp.,4
Fifth Beach LOW 2012 10,Tube worms,0.5
Fifth Beach LOW 2012 2,Amphiporus,1
Fifth Beach LOW 2012 2,bare rock,6
Fifth Beach LOW 2012 2,Bossiella frondifera,4
Fifth Beach LOW 2012 2,Bryozoan,2
Fifth Beach LOW 2012 2,Callithamnion pikeanum,1
Fifth Beach LOW 2012 2,Chamberlainium tumidum,3
Fifth Beach LOW 2012 2,coralline crust,3
Fifth Beach LOW 2012 2,Cryptosiphonia woodii,7
Fifth Beach LOW 2012 2,Dilsea californica,2
Fifth Beach LOW 2012 2,Hildenbrandia occidentalis,3
Fifth Beach LOW 2012 2,Leathesia marina,0.5
Fifth Beach LOW 2012 2,Lottia sp.,2
Fifth Beach LOW 2012 2,Mastocarpus latissimus,1
Fifth Beach LOW 2012 2,Mazzaella oregona,6
Fifth Beach LOW 2012 2,Mytilus trossulus,0.5
Fifth Beach LOW 2012 2,Neorhodomela larix,25
Fifth Beach LOW 2012 2,Nucella lamellosa,2
Fifth Beach LOW 2012 2,Petrocelis,0.5
Fifth Beach LOW 2012 2,Phyllospadix scouleri,17
Fifth Beach LOW 2012 2,Plocamium violaceum,3
Fifth Beach LOW 2012 2,Ptilota filicina,40
Fifth Beach LOW 2012 2,Semibalanus cariosus,0.5
Fifth Beach LOW 2012 2,Ulva lactuca,0.5
Fifth Beach LOW 2012 3,Alaria marginata,5
Fifth Beach LOW 2012 3,Amphiporus,1
Fifth Beach LOW 2012 3,Anthopleura xanthogrammica,0.5
Fifth Beach LOW 2012 3,Balanus sp.,0.5
Fifth Beach LOW 2012 3,bare rock,3
Fifth Beach LOW 2012 3,Bryozoan,3
Fifth Beach LOW 2012 3,coralline crust,2
Fifth Beach LOW 2012 3,Cryptosiphonia woodii,2
Fifth Beach LOW 2012 3,Dilsea californica,1
Fifth Beach LOW 2012 3,Hedophyllum sessile,12
Fifth Beach LOW 2012 3,Hildenbrandia occidentalis,2
Fifth Beach LOW 2012 3,Mazzaella oregona,5
Fifth Beach LOW 2012 3,Mazzaella parksii,2
Fifth Beach LOW 2012 3,Mazzaella parvula,2
Fifth Beach LOW 2012 3,Mazzaella splendens,35
Fifth Beach LOW 2012 3,Microcladia borealis,2
Fifth Beach LOW 2012 3,Neopolyporolithon reclinatum,1
Fifth Beach LOW 2012 3,Neorhodomela larix,4
Fifth Beach LOW 2012 3,Phyllospadix scouleri,35
Fifth Beach LOW 2012 3,Plocamium violaceum,1
Fifth Beach LOW 2012 3,Porifera,0.5
Fifth Beach LOW 2012 3,Ptilota filicina,70
Fifth Beach LOW 2012 3,Tokidadendron bullatum,0.5
Fifth Beach LOW 2012 3,Ulva lactuca,0.5
Fifth Beach LOW 2012 4,Alaria marginata,15
Fifth Beach LOW 2012 4,Amphiporus,1
Fifth Beach LOW 2012 4,Balanus sp.,0.5
Fifth Beach LOW 2012 4,bare rock,2
Fifth Beach LOW 2012 4,Bossiella frondifera,2
Fifth Beach LOW 2012 4,Bryozoan,3
Fifth Beach LOW 2012 4,coralline crust,0.5
Fifth Beach LOW 2012 4,Flustralidra,1
Fifth Beach LOW 2012 4,Gammaridae,1
Fifth Beach LOW 2012 4,Hedophyllum sessile,1
Fifth Beach LOW 2012 4,Hildenbrandia rubra,0.5
Fifth Beach LOW 2012 4,Hydroid,0.5
Fifth Beach LOW 2012 4,Mazzaella oregona,0.5
Fifth Beach LOW 2012 4,Mazzaella splendens,0.5
Fifth Beach LOW 2012 4,Neorhodomela larix,6
Fifth Beach LOW 2012 4,Pagarus sp.,1
Fifth Beach LOW 2012 4,Phyllospadix scouleri,87
Fifth Beach LOW 2012 4,Ptilota filicina,30
Fifth Beach LOW 2012 4,Ulva lactuca,0.5
Fifth Beach LOW 2012 5,Alaria marginata,6
Fifth Beach LOW 2012 5,Bryozoan,4
Fifth Beach LOW 2012 5,Callithamnion pikeanum,3
Fifth Beach LOW 2012 5,Chamberlainium tumidum,1
Fifth Beach LOW 2012 5,Corallina vancouveriensis,0.5
Fifth Beach LOW 2012 5,Cryptosiphonia woodii,4
Fifth Beach LOW 2012 5,Halosaccion glandiforme,0.5
Fifth Beach LOW 2012 5,Hymenena sp.,4
Fifth Beach LOW 2012 5,Mastocarpus agardhii,8
Fifth Beach LOW 2012 5,Mastocarpus latissimus,5
Fifth Beach LOW 2012 5,Mazzaella oregona,8
Fifth Beach LOW 2012 5,Mazzaella splendens,12
Fifth Beach LOW 2012 5,Microcladia borealis,2
Fifth Beach LOW 2012 5,Neorhodomela larix,4
Fifth Beach LOW 2012 5,Odonthalia floccosa,8
Fifth Beach LOW 2012 5,Plocamium violaceum,15
Fifth Beach LOW 2012 5,Polyneura latissima,5
Fifth Beach LOW 2012 5,Ptilota filicina,8
Fifth Beach LOW 2012 5,Tokidadendron bullatum,6
Fifth Beach LOW 2012 6,Acrosiphonia sp.,0.5
Fifth Beach LOW 2012 6,Alaria marginata,90
Fifth Beach LOW 2012 6,bare rock,2
Fifth Beach LOW 2012 6,Bryozoan,4
Fifth Beach LOW 2012 6,Callithamnion pikeanum,2
Fifth Beach LOW 2012 6,Chamberlainium tumidum,3
Fifth Beach LOW 2012 6,Hildenbrandia occidentalis,35
Fifth Beach LOW 2012 6,Hydroid,4
Fifth Beach LOW 2012 6,Mastocarpus latissimus,2
Fifth Beach LOW 2012 6,Mazzaella oregona,12
Fifth Beach LOW 2012 6,Microcladia borealis,1
Fifth Beach LOW 2012 6,Odonthalia floccosa,1
Fifth Beach LOW 2012 6,Polyneura latissima,4
Fifth Beach LOW 2012 6,Ptilota filicina,6
Fifth Beach LOW 2012 7,Alaria marginata,95
Fifth Beach LOW 2012 7,Antithamnion defectum,5
Fifth Beach LOW 2012 7,bare rock,2
Fifth Beach LOW 2012 7,Bossiella frondifera,6
Fifth Beach LOW 2012 7,Bryozoan,2
Fifth Beach LOW 2012 7,Callithamnion pikeanum,1
Fifth Beach LOW 2012 7,Codium setchellii,3
Fifth Beach LOW 2012 7,coralline crust,4
Fifth Beach LOW 2012 7,Costaria costata,6
Fifth Beach LOW 2012 7,Hildenbrandia occidentalis,5
Fifth Beach LOW 2012 7,Hydroid,12
Fifth Beach LOW 2012 7,Hymenena setchellii,4
Fifth Beach LOW 2012 7,Hymenena sp.,4
Fifth Beach LOW 2012 7,Mazzaella splendens,15
Fifth Beach LOW 2012 7,Plocamium violaceum,10
Fifth Beach LOW 2012 7,Polyneura latissima,12
Fifth Beach LOW 2012 7,Ptilota filicina,5
Fifth Beach LOW 2012 7,Tunicata,6
Fifth Beach LOW 2012 8,Alaria marginata,93
Fifth Beach LOW 2012 8,Anthopleura xanthogrammica,4
Fifth Beach LOW 2012 8,Balanus glandula,3
Fifth Beach LOW 2012 8,bare rock,1
Fifth Beach LOW 2012 8,Bossiella frondifera,10
Fifth Beach LOW 2012 8,Bryozoan,8
Fifth Beach LOW 2012 8,Callithamnion pikeanum,0.25
Fifth Beach LOW 2012 8,Chiton,7
Fifth Beach LOW 2012 8,coralline crust,11
Fifth Beach LOW 2012 8,Hildenbrandia occidentalis,10
Fifth Beach LOW 2012 8,Hildenbrandia rubra,4
Fifth Beach LOW 2012 8,Hymenena sp.,14
Fifth Beach LOW 2012 8,Katharina tunicata,1
Fifth Beach LOW 2012 8,Lottia sp.,1
Fifth Beach LOW 2012 8,Mazzaella oregona,2
Fifth Beach LOW 2012 8,Mazzaella splendens,18
Fifth Beach LOW 2012 8,Odonthalia floccosa,6
Fifth Beach LOW 2012 8,Polyneura latissima,4
Fifth Beach LOW 2012 8,Porifera,3
Fifth Beach LOW 2012 8,Salishia firma,2
Fifth Beach LOW 2012 8,Tonicella sp.,2
Fifth Beach LOW 2012 8,Tunicata,4
Fifth Beach LOW 2012 9,Alaria marginata,80
Fifth Beach LOW 2012 9,Anthopleura xanthogrammica,3
Fifth Beach LOW 2012 9,Bossiella frondifera,10
Fifth Beach LOW 2012 9,Callithamnion pikeanum,3
Fifth Beach LOW 2012 9,Chamberlainium tumidum,10
Fifth Beach LOW 2012 9,Corallina vancouveriensis,6
Fifth Beach LOW 2012 9,coralline crust,4
Fifth Beach LOW 2012 9,Endocladia muricata,8
Fifth Beach LOW 2012 9,Hedophyllum sessile,10
Fifth Beach LOW 2012 9,Hildenbrandia occidentalis,8
Fifth Beach LOW 2012 9,Hymenena sp.,8
Fifth Beach LOW 2012 9,Katharina tunicata,1
Fifth Beach LOW 2012 9,Mastocarpus agardhii,6
Fifth Beach LOW 2012 9,Mastocarpus latissimus,6
Fifth Beach LOW 2012 9,Mazzaella oregona,4
Fifth Beach LOW 2012 9,Microcladia borealis,3
Fifth Beach LOW 2012 9,Petrocelis,4
Fifth Beach LOW 2012 9,Plocamium violaceum,40
Fifth Beach LOW 2012 9,Pyropia perforata,4
Fifth Beach LOW 2013 1,Ahnfeltia fastigiata,10
Fifth Beach LOW 2013 1,Cladophora columbiana,10
Fifth Beach LOW 2013 1,Cladophora sericea,3
Fifth Beach LOW 2013 1,Egregia menziesii,3
Fifth Beach LOW 2013 1,Farlowia mollis,6
Fifth Beach LOW 2013 1,Hildenbrandia occidentalis,1
Fifth Beach LOW 2013 1,Hildenbrandia rubra,0.5
Fifth Beach LOW 2013 1,Hymenena sp.,2
Fifth Beach LOW 2013 1,Mastocarpus latissimus,1
Fifth Beach LOW 2013 1,Neorhodomela larix,8
Fifth Beach LOW 2013 1,Osmundea spectabilis,65
Fifth Beach LOW 2013 1,Polysiphonia sp.,1
Fifth Beach LOW 2013 1,Ptilota sp.,1
Fifth Beach LOW 2013 1,Pyropia fucicola,18
Fifth Beach LOW 2013 1,Sand,1
Fifth Beach LOW 2013 10,Analipus japonicus,35
Fifth Beach LOW 2013 10,bare rock,10
Fifth Beach LOW 2013 10,Barnacle,1
Fifth Beach LOW 2013 10,Callithamnion pikeanum,4
Fifth Beach LOW 2013 10,Cladophora columbiana,1
Fifth Beach LOW 2013 10,coralline crust,6
Fifth Beach LOW 2013 10,Farlowia mollis,1
Fifth Beach LOW 2013 10,Hymenena setchellii,5
Fifth Beach LOW 2013 10,Hymenena sp.,18
Fifth Beach LOW 2013 10,Katharina tunicata,5
Fifth Beach LOW 2013 10,Limpet,1
Fifth Beach LOW 2013 10,Lomentaria hakodatensis,26
Fifth Beach LOW 2013 10,Mazzaella splendens,1
Fifth Beach LOW 2013 10,Neogastroclonium subarticulatum,7
Fifth Beach LOW 2013 10,Neorhodomela larix,0.5
Fifth Beach LOW 2013 10,Polyneura latissima,9
Fifth Beach LOW 2013 10,Polysiphonia sp.,12
Fifth Beach LOW 2013 10,Pyropia fucicola,1
Fifth Beach LOW 2013 10,Rhizoclonium tortuosum,1
Fifth Beach LOW 2013 10,Salishia firma,13
Fifth Beach LOW 2013 10,Scytosiphon lomentaria,44
Fifth Beach LOW 2013 10,Tonicella sp.,1
Fifth Beach LOW 2013 2,Ahnfeltia fastigiata,0.5
Fifth Beach LOW 2013 2,Bryozoan,1
Fifth Beach LOW 2013 2,Callithamnion pikeanum,0.5
Fifth Beach LOW 2013 2,Farlowia mollis,0.5
Fifth Beach LOW 2013 2,Neogastroclonium subarticulatum,6
Fifth Beach LOW 2013 2,Osmundea spectabilis,8
Fifth Beach LOW 2013 2,Pagarus sp.,1
Fifth Beach LOW 2013 2,Polysiphonia hendryi var. hendryi,82
Fifth Beach LOW 2013 2,Pyropia fucicola,11
Fifth Beach LOW 2013 2,Sand,1
Fifth Beach LOW 2013 2,Scytosiphon lomentaria,13
Fifth Beach LOW 2013 3,Acrosiphonia coalita,0.5
Fifth Beach LOW 2013 3,bare rock,1
Fifth Beach LOW 2013 3,Bossiella sp.4 chiloensis,0.5
Fifth Beach LOW 2013 3,Callithamnion pikeanum,1
Fifth Beach LOW 2013 3,Ceramium pacificum,1
Fifth Beach LOW 2013 3,Dilsea californica,1
Fifth Beach LOW 2013 3,Halosaccion glandiforme,0.5
Fifth Beach LOW 2013 3,Hedophyllum sessile,3
Fifth Beach LOW 2013 3,Leathesia marina,0.5
Fifth Beach LOW 2013 3,Mastocarpus agardhii,1
Fifth Beach LOW 2013 3,Mastocarpus alaskensis,0.5
Fifth Beach LOW 2013 3,Mazzaella oregona,10
Fifth Beach LOW 2013 3,Mazzaella parvula,1
Fifth Beach LOW 2013 3,Mazzaella splendens,1
Fifth Beach LOW 2013 3,Microcladia borealis,5
Fifth Beach LOW 2013 3,Neorhodomela larix,85
Fifth Beach LOW 2013 3,Polyneura latissima,0.5
Fifth Beach LOW 2013 3,Ptilota sp.,6
Fifth Beach LOW 2013 3,Ulva lactuca,0.5
Fifth Beach LOW 2013 4,Acrosiphonia coalita,0.5
Fifth Beach LOW 2013 4,bare rock,2
Fifth Beach LOW 2013 4,Bossiella sp.4 chiloensis,0.5
Fifth Beach LOW 2013 4,Callithamnion pikeanum,1
Fifth Beach LOW 2013 4,Chamberlainium tumidum,9
Fifth Beach LOW 2013 4,Corallina sp.,0.5
Fifth Beach LOW 2013 4,Corallina vancouveriensis,1
Fifth Beach LOW 2013 4,Cryptosiphonia woodii,2
Fifth Beach LOW 2013 4,Dilsea californica,0.5
Fifth Beach LOW 2013 4,Farlowia mollis,0.5
Fifth Beach LOW 2013 4,Halosaccion glandiforme,0.5
Fifth Beach LOW 2013 4,Mastocarpus agardhii,1
Fifth Beach LOW 2013 4,Mazzaella oregona,7
Fifth Beach LOW 2013 4,Mazzaella splendens,9
Fifth Beach LOW 2013 4,Neorhodomela larix,40
Fifth Beach LOW 2013 4,Petrocelis,0.5
Fifth Beach LOW 2013 4,Phyllospadix scouleri,34
Fifth Beach LOW 2013 4,Plocamium violaceum,9
Fifth Beach LOW 2013 4,Polyneura latissima,1
Fifth Beach LOW 2013 4,Ptilota sp.,7
Fifth Beach LOW 2013 4,Sand,2
Fifth Beach LOW 2013 5,Ahnfeltia fastigiata,0.5
Fifth Beach LOW 2013 5,Analipus japonicus,8
Fifth Beach LOW 2013 5,bare rock,3
Fifth Beach LOW 2013 5,Callithamnion pikeanum,2
Fifth Beach LOW 2013 5,Dermasterias,1
Fifth Beach LOW 2013 5,Elachista fucicola,1
Fifth Beach LOW 2013 5,Farlowia mollis,4
Fifth Beach LOW 2013 5,Halosaccion glandiforme,0.5
Fifth Beach LOW 2013 5,Hymenena setchellii,5
Fifth Beach LOW 2013 5,Hymenena sp.,2.5
Fifth Beach LOW 2013 5,Lomentaria hakodatensis,5
Fifth Beach LOW 2013 5,Mazzaella splendens,0.5
Fifth Beach LOW 2013 5,Melanosiphon intestinalis,6
Fifth Beach LOW 2013 5,Mopalia sp.,1
Fifth Beach LOW 2013 5,Nemalion helminthoides,1
Fifth Beach LOW 2013 5,Neogastroclonium subarticulatum,35
Fifth Beach LOW 2013 5,Neorhodomela larix,1
Fifth Beach LOW 2013 5,Osmundea spectabilis,13
Fifth Beach LOW 2013 5,Pagarus sp.,1
Fifth Beach LOW 2013 5,Palmaria mollis,18
Fifth Beach LOW 2013 5,Polyneura latissima,2
Fifth Beach LOW 2013 5,Polysiphonia hendryi var. hendryi,3
Fifth Beach LOW 2013 5,Polysiphonia sp.,16
Fifth Beach LOW 2013 5,Prionitis sternbergii,2
Fifth Beach LOW 2013 5,Pugettia sp.,1
Fifth Beach LOW 2013 5,Pyropia fucicola,9
Fifth Beach LOW 2013 5,Salishia firma,4
