"UID","Taxon","Abundance"
"Fifth Beach MID 2011 8","Microcladia borealis","0.5"
"Fifth Beach MID 2011 8","Petrocelis","6"
"Fifth Beach MID 2011 8","Phyllospadix scouleri","16"
"Fifth Beach MID 2011 8","Plocamium violaceum","25"
"Fifth Beach MID 2011 8","Pseudolithophyllum neofarlowii","8"
"Fifth Beach MID 2011 8","Ulva lactuca","1"
"Fifth Beach MID 2011 9","Bare Rock","15"
"Fifth Beach MID 2011 9","Bossiella frondifera","4"
"Fifth Beach MID 2011 9","Callithamnion pikeanum","4"
"Fifth Beach MID 2011 9","Cladophora columbiana","5"
"Fifth Beach MID 2011 9","Clathromorphum reclinatum","0.5"
"Fifth Beach MID 2011 9","Corallina vancouveriensis","30"
"Fifth Beach MID 2011 9","Halosaccion glandiforme","0.5"
"Fifth Beach MID 2011 9","Hildenbrandia","3"
"Fifth Beach MID 2011 9","Hymenena/Cryptopleura","2"
"Fifth Beach MID 2011 9","Leathesia marina","5"
"Fifth Beach MID 2011 9","Mastocarpus latissimus","1"
"Fifth Beach MID 2011 9","M.latissimus + small","1"
"Fifth Beach MID 2011 9","Opuntiella californica","3"
"Fifth Beach MID 2011 9","Petrocelis","2"
"Fifth Beach MID 2011 9","Phyllospadix scouleri","10"
"Fifth Beach MID 2011 9","Pseudolithophyllum neofarlowii","5"
"Fifth Beach MID 2011 9","Ulva lactuca","7"
"Fifth Beach MID 2011 10","Bare Rock","6"
"Fifth Beach MID 2011 10","Alaria","75"
"Fifth Beach MID 2011 10","Analipus japonicus","0.5"
"Fifth Beach MID 2011 10","Callithamnion pikeanum","3"
"Fifth Beach MID 2011 10","Corallina frondescens","6"
"Fifth Beach MID 2011 10","Corallina vancouveriensis","8"
"Fifth Beach MID 2011 10","Coralline crust, unknown","10"
"Fifth Beach MID 2011 10","Endocladia muricata","15"
"Fifth Beach MID 2011 10","Hildenbrandia","25"
"Fifth Beach MID 2011 10","Hymenena/Cryptopleura","10"
"Fifth Beach MID 2011 10","Lithothamnion phymatodeon","8"
"Fifth Beach MID 2011 10","Mastocarpus latissimus","2"
"Fifth Beach MID 2011 10","M.latissimus + small","2"
"Fifth Beach MID 2011 10","Mazzaella splendens","4"
"Fifth Beach MID 2011 10","Microcladia borealis","1"
"Fifth Beach MID 2011 10","Petrocelis","1"
"Fifth Beach MID 2011 10","Plocamium violaceum","5"
"Fifth Beach MID 2011 10","Porphyra perforata","3"
"Fifth Beach MID 2011 10","Pseudolithophyllum neofarlowii","8"
"Fifth Beach MID 2011 10","Saccharina sessile","15"
"Fifth Beach MID 2012 1","Acrosiphonia","18"
"Fifth Beach MID 2012 1","Callithamnion pikeanum","1"
"Fifth Beach MID 2012 1","Corallina vancouveriensis","1"
"Fifth Beach MID 2012 1","Cryptosiphonia woodii","2.5"
"Fifth Beach MID 2012 1","Endocladia muricata","40"
"Fifth Beach MID 2012 1","Fucus distichus subsp. evanescens","8"
"Fifth Beach MID 2012 1","Halosaccion glandiforme","3"
"Fifth Beach MID 2012 1","Hildenbrandia occidentalis","19"
"Fifth Beach MID 2012 1","Mazzaella oregona","6"
"Fifth Beach MID 2012 1","Microcladia borealis","0.5"
"Fifth Beach MID 2012 1","Neorhodomela larix","2"
"Fifth Beach MID 2012 1","Petrocelis","2"
"Fifth Beach MID 2012 1","Plocamium violaceum","6"
"Fifth Beach MID 2012 1","Pyropia perforata","2"
"Fifth Beach MID 2012 1","Porphyra schizophylla","3"
"Fifth Beach MID 2012 1","Pseudolithophyllum neofarlowii","9"
"Fifth Beach MID 2012 1","Balanus glandula","9"
"Fifth Beach MID 2012 1","Anthopleura","3"
"Fifth Beach MID 2012 1","Lottia","8"
"Fifth Beach MID 2012 1","Chiton","1"
"Fifth Beach MID 2012 1","Idotea","4"
"Fifth Beach MID 2012 2","Bare Rock","4"
"Fifth Beach MID 2012 2","Acrosiphonia","3"
"Fifth Beach MID 2012 2","Bossiella frondifera","1.5"
"Fifth Beach MID 2012 2","Cladophora columbiana","2"
"Fifth Beach MID 2012 2","Clathromorphum reclinatum","2"
"Fifth Beach MID 2012 2","Corallina vancouveriensis","20"
"Fifth Beach MID 2012 2","Endocladia muricata","8"
"Fifth Beach MID 2012 2","Fucus distichus subsp. evanescens","26"
"Fifth Beach MID 2012 2","Halosaccion glandiforme","15"
"Fifth Beach MID 2012 2","Hildenbrandia occidentalis","12"
"Fifth Beach MID 2012 2","Hildenbrandia rubra","8"
"Fifth Beach MID 2012 2","Mazzaella oregona","3"
"Fifth Beach MID 2012 2","Petrocelis","1"
"Fifth Beach MID 2012 2","Phyllospadix scouleri","5"
"Fifth Beach MID 2012 2","Pseudolithophyllum neofarlowii","4"
"Fifth Beach MID 2012 2","Ulva lactuca","1"
"Fifth Beach MID 2012 2","Balanus glandula","30"
"Fifth Beach MID 2012 2","Anthopleura","5"
"Fifth Beach MID 2012 2","Lottia","12"
"Fifth Beach MID 2012 2","Pisaster ochraceous","2"
"Fifth Beach MID 2012 2","Chiton","4"
"Fifth Beach MID 2012 2","Idotea","1"
"Fifth Beach MID 2012 3","Alaria marginata","13"
"Fifth Beach MID 2012 3","Callithamnion pikeanum","2"
"Fifth Beach MID 2012 3","Corallina vancouveriensis","5"
"Fifth Beach MID 2012 3","Endocladia muricata","6"
"Fifth Beach MID 2012 3","Fucus distichus subsp. evanescens","70"
"Fifth Beach MID 2012 3","Halosaccion glandiforme","4"
"Fifth Beach MID 2012 3","Hildenbrandia occidentalis","70"
"Fifth Beach MID 2012 3","Mastocarpus agardhii","8"
"Fifth Beach MID 2012 3","Mazzaella oregona","8"
"Fifth Beach MID 2012 3","Pyropia perforata","5"
"Fifth Beach MID 2012 3","Pseudolithophyllum neofarlowii","4"
"Fifth Beach MID 2012 3","Balanus glandula","30"
"Fifth Beach MID 2012 4","Alaria marginata","35"
"Fifth Beach MID 2012 4","Cryptosiphonia woodii","2"
"Fifth Beach MID 2012 4","Endocladia muricata","12"
"Fifth Beach MID 2012 4","Fucus distichus subsp. evanescens","50"
"Fifth Beach MID 2012 4","Halosaccion glandiforme","2"
"Fifth Beach MID 2012 4","Hildenbrandia occidentalis","45"
"Fifth Beach MID 2012 4","Mastocarpus alaskensis","6"
"Fifth Beach MID 2012 4","Mastocarpus agardhii","2"
"Fifth Beach MID 2012 4","Mazzaella oregona","12"
"Fifth Beach MID 2012 4","Pyropia perforata","3"
"Fifth Beach MID 2012 4","Pseudolithophyllum neofarlowii","6"
"Fifth Beach MID 2012 4","Ulva lactuca","1"
"Fifth Beach MID 2012 4","Balanus glandula","15"
"Fifth Beach MID 2012 5","Bare Rock","6"
"Fifth Beach MID 2012 5","Acrosiphonia","0.5"
"Fifth Beach MID 2012 5","Alaria marginata","25"
"Fifth Beach MID 2012 5","Analipus japonicus","1"
"Fifth Beach MID 2012 5","Callithamnion pikeanum","2"
"Fifth Beach MID 2012 5","Corallina vancouveriensis","15"
"Fifth Beach MID 2012 5","Cryptosiphonia woodii","2"
"Fifth Beach MID 2012 5","Endocladia muricata","8"
"Fifth Beach MID 2012 5","Fucus distichus subsp. evanescens","8"
"Fifth Beach MID 2012 5","Halosaccion glandiforme","18"
"Fifth Beach MID 2012 5","Hildenbrandia occidentalis","40"
"Fifth Beach MID 2012 5","Leathesia marina","6"
"Fifth Beach MID 2012 5","Mazzaella oregona","6"
"Fifth Beach MID 2012 5","Plocamium violaceum","8"
"Fifth Beach MID 2012 5","Pseudolithophyllum neofarlowii","18"
"Fifth Beach MID 2012 5","Ulva lactuca","1"
"Fifth Beach MID 2012 5","Anthopleura","2"
"Fifth Beach MID 2012 5","Lottia","8"
"Fifth Beach MID 2012 6","Bare Rock","15"
"Fifth Beach MID 2012 6","Alaria marginata","5"
"Fifth Beach MID 2012 6","Callithamnion pikeanum","1"
"Fifth Beach MID 2012 6","Endocladia muricata","30"
"Fifth Beach MID 2012 6","Fucus distichus subsp. evanescens","45"
"Fifth Beach MID 2012 6","Gloiopeltis furcata","0.5"
"Fifth Beach MID 2012 6","Halosaccion glandiforme","2"
"Fifth Beach MID 2012 6","Hildenbrandia occidentalis","10"
"Fifth Beach MID 2012 6","Mastocarpus alaskensis","12"
"Fifth Beach MID 2012 6","Mastocarpus agardhii","1"
"Fifth Beach MID 2012 6","Mazzaella oregona","4"
"Fifth Beach MID 2012 6","Pyropia perforata","2"
"Fifth Beach MID 2012 6","Pseudolithophyllum neofarlowii","10"
"Fifth Beach MID 2012 6","Ulva lactuca","2"
"Fifth Beach MID 2012 6","Balanus glandula","20"
"Fifth Beach MID 2012 6","Chthamalus","0.5"
"Fifth Beach MID 2012 6","Anthopleura","0.5"
"Fifth Beach MID 2012 6","Lottia","25"
"Fifth Beach MID 2012 6","Pisaster ochraceous","1"
"Fifth Beach MID 2012 6","Semibalanus cariosus","2"
"Fifth Beach MID 2012 6","Amphiporus","1"
"Fifth Beach MID 2012 6","Littorina scutulata","1"
"Fifth Beach MID 2012 7","Bare Rock","6"
"Fifth Beach MID 2012 7","Alaria marginata","28"
"Fifth Beach MID 2012 7","Bossiella frondifera","2"
"Fifth Beach MID 2012 7","Callithamnion pikeanum","0.5"
"Fifth Beach MID 2012 7","Clathromorphum reclinatum","0.5"
"Fifth Beach MID 2012 7","Corallina frondescens","2"
"Fifth Beach MID 2012 7","Corallina vancouveriensis","10"
"Fifth Beach MID 2012 7","Dilsea californica","1"
"Fifth Beach MID 2012 7","Elachista fucicola","0.5"
"Fifth Beach MID 2012 7","Endocladia muricata","5"
"Fifth Beach MID 2012 7","Fucus distichus subsp. evanescens","30"
"Fifth Beach MID 2012 7","Halosaccion glandiforme","9"
"Fifth Beach MID 2012 7","Hildenbrandia occidentalis","50"
"Fifth Beach MID 2012 7","Mastocarpus alaskensis","3"
"Fifth Beach MID 2012 7","Mastocarpus agardhii","3"
"Fifth Beach MID 2012 7","Mazzaella oregona","16"
"Fifth Beach MID 2012 7","Microcladia borealis","1"
"Fifth Beach MID 2012 7","Neorhodomela oregona?","0.5"
"Fifth Beach MID 2012 7","Petrocelis","2"
"Fifth Beach MID 2012 7","Plocamium violaceum","5"
"Fifth Beach MID 2012 7","Polyneura latissima","0.5"
"Fifth Beach MID 2012 7","Pyropia fucicola","1"
"Fifth Beach MID 2012 7","Pyropia perforata","2"
"Fifth Beach MID 2012 7","Pseudolithophyllum neofarlowii","22"
"Fifth Beach MID 2012 7","Ulva lactuca","1"
"Fifth Beach MID 2012 7","Ulva linza","0.5"
"Fifth Beach MID 2012 7","Balanus glandula","0.5"
"Fifth Beach MID 2012 7","Anthopleura","2"
"Fifth Beach MID 2012 7","Lottia","18"
"Fifth Beach MID 2012 7","Idotea","1"
"Fifth Beach MID 2012 7","Kathrina","1"
"Fifth Beach MID 2012 7","Onchidella borealis","1"
"Fifth Beach MID 2012 7","Semibalanus cariosus","2"
"Fifth Beach MID 2012 7","Pagurus","1"
"Fifth Beach MID 2012 8","Bare Rock","10"
"Fifth Beach MID 2012 8","Acrosiphonia","0.25"
"Fifth Beach MID 2012 8","Callithamnion pikeanum","4"
"Fifth Beach MID 2012 8","Corallina vancouveriensis","0.25"
"Fifth Beach MID 2012 8","Endocladia muricata","25"
"Fifth Beach MID 2012 8","Fucus distichus subsp. evanescens","9"
"Fifth Beach MID 2012 8","Hildenbrandia occidentalis","8"
"Fifth Beach MID 2012 8","Hildenbrandia rubra","2"
"Fifth Beach MID 2012 8","Mazzaella oregona","5"
"Fifth Beach MID 2012 8","Nemalion helminthoides","0.1"
"Fifth Beach MID 2012 8","Petrocelis","36"
"Fifth Beach MID 2012 8","Plocamium violaceum","3"
"Fifth Beach MID 2012 8","Pyropia perforata","16"
"Fifth Beach MID 2012 8","Porphyra schizophylla","3"
"Fifth Beach MID 2012 8","Pseudolithophyllum neofarlowii","6"
"Fifth Beach MID 2012 8","Balanus glandula","4"
"Fifth Beach MID 2012 8","Lottia","18"
"Fifth Beach MID 2012 8","Chiton","1"
"Fifth Beach MID 2012 8","Idotea","4"
"Fifth Beach MID 2012 9","Bare Rock","8"
"Fifth Beach MID 2012 9","Acrosiphonia","3.5"
"Fifth Beach MID 2012 9","Callithamnion pikeanum","2"
"Fifth Beach MID 2012 9","Corallina vancouveriensis","0.5"
"Fifth Beach MID 2012 9","Endocladia muricata","58"
"Fifth Beach MID 2012 9","Hildenbrandia occidentalis","3"
"Fifth Beach MID 2012 9","Hildenbrandia rubra","2"
"Fifth Beach MID 2012 9","Nemalion helminthoides","0.5"
"Fifth Beach MID 2012 9","Petrocelis","20"
"Fifth Beach MID 2012 9","Plocamium violaceum","10"
"Fifth Beach MID 2012 9","Pyropia perforata","4"
"Fifth Beach MID 2012 9","Porphyra schizophylla","6"
"Fifth Beach MID 2012 9","Pseudolithophyllum neofarlowii","2"
"Fifth Beach MID 2012 9","Balanus glandula","3"
"Fifth Beach MID 2012 9","Anthopleura","5"
"Fifth Beach MID 2012 9","Lottia","80"
"Fifth Beach MID 2012 9","Idotea","1"
"Fifth Beach MID 2012 9","Leptasterias","1"
"Fifth Beach MID 2012 10","Bare Rock","15"
"Fifth Beach MID 2012 10","Acrosiphonia","11"
"Fifth Beach MID 2012 10","Bossiella frondifera","1.5"
"Fifth Beach MID 2012 10","Callithamnion pikeanum","3"
"Fifth Beach MID 2012 10","Corallina vancouveriensis","3.5"
"Fifth Beach MID 2012 10","Endocladia muricata","46"
"Fifth Beach MID 2012 10","Fucus distichus subsp. evanescens","4"
"Fifth Beach MID 2012 10","Hildenbrandia occidentalis","4"
"Fifth Beach MID 2012 10","Hildenbrandia rubra","1"
"Fifth Beach MID 2012 10","Microcladia borealis","5"
"Fifth Beach MID 2012 10","Nemalion helminthoides","0.25"
"Fifth Beach MID 2012 10","Plocamium violaceum","27"
"Fifth Beach MID 2012 10","Pseudolithophyllum neofarlowii","1"
"Fifth Beach MID 2012 10","Balanus glandula","0.25"
"Fifth Beach MID 2012 10","Chthamalus","0.5"
"Fifth Beach MID 2012 10","Anthopleura","3"
"Fifth Beach MID 2012 10","Lottia","12"
"Fifth Beach MID 2012 10","Sculpin","1"
"Fifth Beach MID 2012 10","Pisaster ochraceous","2"
"Fifth Beach MID 2012 10","Chiton","4"
"Fifth Beach MID 2012 10","Idotea","6"
"Fifth Beach MID 2012 10","Leptasterias","2"
"Fifth Beach MID 2012 10","Worm","1"
"Fifth Beach MID 2012 10","Kathrina","1"
"Fifth Beach HIGH 2011 1","Bare Rock","60"
"Fifth Beach HIGH 2011 1","Cladophora columbiana","1"
"Fifth Beach HIGH 2011 1","Cryptosiphonia woodii","0.5"
"Fifth Beach HIGH 2011 1","Endocladia muricata","2"
"Fifth Beach HIGH 2011 1","Fucus distichus subsp. evanescens","5"
"Fifth Beach HIGH 2011 1","Gloiopeltis furcata (mostly bases)","0.5"
"Fifth Beach HIGH 2011 1","Halosaccion glandiforme","2"
"Fifth Beach HIGH 2011 1","Hildenbrandia","3"
"Fifth Beach HIGH 2011 1","Mastocarpus latissimus","3"
"Fifth Beach HIGH 2011 1","Petrocelis","20"
"Fifth Beach HIGH 2011 1","Porphyra perforata","3"
"Fifth Beach HIGH 2011 2","Cladophora columbiana","3"
"Fifth Beach HIGH 2011 2","Cladophora stimpsonii","2.5"
"Fifth Beach HIGH 2011 2","Cryptosiphonia woodii","7"
"Fifth Beach HIGH 2011 2","Elachista fucicola","7"
"Fifth Beach HIGH 2011 2","Endocladia muricata","3"
"Fifth Beach HIGH 2011 2","Fucus distichus subsp. evanescens","58"
"Fifth Beach HIGH 2011 2","Halosaccion glandiforme","4"
"Fifth Beach HIGH 2011 2","Hildenbrandia","80"
"Fifth Beach HIGH 2011 2","Mastocarpus latissimus","6"
"Fifth Beach HIGH 2011 2","Mastocarpus rigidus","4"
"Fifth Beach HIGH 2011 2","Mazzaella oregona","17"
"Fifth Beach HIGH 2011 2","Petrocelis","4"
"Fifth Beach HIGH 2011 2","Pseudolithophyllum neofarlowii","9"
"Fifth Beach HIGH 2011 2","Ulva lactuca","2"
"Fifth Beach HIGH 2011 2","Ulva linza","2"
"Fifth Beach HIGH 2011 3","Bare Rock","7"
"Fifth Beach HIGH 2011 3","Alaria","8"
"Fifth Beach HIGH 2011 3","Cladophora columbiana","1"
"Fifth Beach HIGH 2011 3","Corallina frondescens","0.5"
"Fifth Beach HIGH 2011 3","Corallina vancouveriensis","2"
"Fifth Beach HIGH 2011 3","Cryptosiphonia woodii","0.5"
"Fifth Beach HIGH 2011 3","Elachista fucicola","1"
"Fifth Beach HIGH 2011 3","Endocladia muricata","3"
"Fifth Beach HIGH 2011 3","Fucus distichus subsp. evanescens","4"
"Fifth Beach HIGH 2011 3","Halosaccion glandiforme","13"
"Fifth Beach HIGH 2011 3","Hildenbrandia","25"
"Fifth Beach HIGH 2011 3","Leathesia marina","0.5"
"Fifth Beach HIGH 2011 3","Mastocarpus latissimus","2"
"Fifth Beach HIGH 2011 3","Mazzaella oregona","3"
"Fifth Beach HIGH 2011 3","Petrocelis","3"
"Fifth Beach HIGH 2011 3","Pseudolithophyllum neofarlowii","35"
"Fifth Beach HIGH 2011 3","Pterosiphonia bipinnata","1"
"Fifth Beach HIGH 2011 3","Pylaiella littoralis","0.5"
"Fifth Beach HIGH 2011 3","Ulva lactuca","1"
"Fifth Beach HIGH 2011 3","Ulva linza","0.5"
"Fifth Beach HIGH 2011 4","Bare Rock","25"
"Fifth Beach HIGH 2011 4","Cladophora columbiana","6"
"Fifth Beach HIGH 2011 4","Endocladia muricata","10"
"Fifth Beach HIGH 2011 4","Fucus distichus subsp. evanescens","15"
"Fifth Beach HIGH 2011 4","Halosaccion glandiforme","0.5"
"Fifth Beach HIGH 2011 4","Hildenbrandia","4"
"Fifth Beach HIGH 2011 4","Mastocarpus latissimus","6"
"Fifth Beach HIGH 2011 4","Nemalion helminthoides","1"
"Fifth Beach HIGH 2011 4","Neorhodomela larix","0.5"
"Fifth Beach HIGH 2011 4","Petrocelis ""bumpy"" = H. occidentalis?","50"
"Fifth Beach HIGH 2011 4","Porphyra perforata","4"
"Fifth Beach HIGH 2011 5","Acrosiphonia","0.5"
"Fifth Beach HIGH 2011 5","Cladophora columbiana","5"
"Fifth Beach HIGH 2011 5","Corallina vancouveriensis","3"
"Fifth Beach HIGH 2011 5","Elachista fucicola","1.5"
"Fifth Beach HIGH 2011 5","Endocladia muricata","18"
"Fifth Beach HIGH 2011 5","Fucus distichus subsp. evanescens","23"
"Fifth Beach HIGH 2011 5","Halosaccion glandiforme","13"
"Fifth Beach HIGH 2011 5","Hildenbrandia","7"
"Fifth Beach HIGH 2011 5","Mastocarpus rigidus","13"
"Fifth Beach HIGH 2011 5","Mazzaella oregona","5"
"Fifth Beach HIGH 2011 5","Nemalion helminthoides","1.5"
"Fifth Beach HIGH 2011 5","Petrocelis","79"
"Fifth Beach HIGH 2011 5","Porphyra perforata","3"
"Fifth Beach HIGH 2011 5","Pseudolithophyllum neofarlowii","2"
"Fifth Beach HIGH 2011 5","Ulva linza","1"
"Fifth Beach HIGH 2011 6","Bare Rock","10"
"Fifth Beach HIGH 2011 6","Elachista fucicola","0.5"
"Fifth Beach HIGH 2011 6","Endocladia muricata","1"
"Fifth Beach HIGH 2011 6","Fucus distichus subsp. evanescens","40"
"Fifth Beach HIGH 2011 6","Halosaccion glandiforme","1"
"Fifth Beach HIGH 2011 6","Hildenbrandia","8"
"Fifth Beach HIGH 2011 6","Mastocarpus latissimus","8"
"Fifth Beach HIGH 2011 6","Mastocarpus rigidus","3"
"Fifth Beach HIGH 2011 6","Mazzaella oregona","4"
"Fifth Beach HIGH 2011 6","Nemalion helminthoides","0.5"
"Fifth Beach HIGH 2011 6","Petrocelis ""bumpy"" = H. occidentalis?","40"
"Fifth Beach HIGH 2011 6","Porphyra perforata","2"
"Fifth Beach HIGH 2011 6","Porphyra schizophylla","1"
"Fifth Beach HIGH 2011 6","Pseudolithophyllum neofarlowii","3"
"Fifth Beach HIGH 2011 7","Bare Rock","1"
"Fifth Beach HIGH 2011 7","Callithamnion pikeanum","0.5"
"Fifth Beach HIGH 2011 7","Cladophora columbiana","0.5"
"Fifth Beach HIGH 2011 7","Cryptosiphonia woodii","4"
"Fifth Beach HIGH 2011 7","Elachista fucicola","1"
"Fifth Beach HIGH 2011 7","Endocladia muricata","0.5"
"Fifth Beach HIGH 2011 7","Fucus distichus subsp. evanescens","60"
"Fifth Beach HIGH 2011 7","Halosaccion glandiforme","4"
"Fifth Beach HIGH 2011 7","Hildenbrandia","25"
"Fifth Beach HIGH 2011 7","Leathesia marina","0.5"
"Fifth Beach HIGH 2011 7","Mastocarpus latissimus","17"
"Fifth Beach HIGH 2011 7","Mastocarpus rigidus","0.5"
"Fifth Beach HIGH 2011 7","Mazzaella oregona","5"
"Fifth Beach HIGH 2011 7","Palmaria hecatensis","1"
"Fifth Beach HIGH 2011 7","Petrocelis","1"
"Fifth Beach HIGH 2011 7","Pseudolithophyllum neofarlowii","1"
"Fifth Beach HIGH 2011 7","Ulva lactuca","6"
"Fifth Beach HIGH 2011 7","Ulva linza","0.5"
"Fifth Beach HIGH 2011 8","Cladophora columbiana","2"
"Fifth Beach HIGH 2011 8","Endocladia muricata","42"
"Fifth Beach HIGH 2011 8","Halosaccion glandiforme","3"
"Fifth Beach HIGH 2011 8","Hildenbrandia","27"
"Fifth Beach HIGH 2011 8","Mastocarpus latissimus","7"
"Fifth Beach HIGH 2011 8","Mastocarpus rigidus","5"
"Fifth Beach HIGH 2011 8","Petrocelis","13"
"Fifth Beach HIGH 2011 8","Porphyra perforata","3"
"Fifth Beach HIGH 2011 8","Pseudolithophyllum neofarlowii","11"
"Fifth Beach HIGH 2011 8","Ulva lactuca","2"
"Fifth Beach HIGH 2011 8","Ulva linza","3"
"Fifth Beach HIGH 2011 9","Bare Rock","15"
"Fifth Beach HIGH 2011 9","Endocladia muricata","8"
"Fifth Beach HIGH 2011 9","Fucus distichus subsp. evanescens","1"
"Fifth Beach HIGH 2011 9","Hildenbrandia","2"
"Fifth Beach HIGH 2011 9","Mastocarpus latissimus","0.5"
"Fifth Beach HIGH 2011 9","Porphyra schizophylla","1"
"Fifth Beach HIGH 2011 9","Mussels","20"
"Fifth Beach HIGH 2011 9","Barnacles, acorn","55"
"Fifth Beach HIGH 2011 10","Bare Rock","20"
"Fifth Beach HIGH 2011 10","Callithamnion pikeanum","0.5"
"Fifth Beach HIGH 2011 10","Corallina vancouveriensis","0.5"
"Fifth Beach HIGH 2011 10","Endocladia muricata","2"
"Fifth Beach HIGH 2011 10","Hildenbrandia","1"
"Fifth Beach HIGH 2011 10","Petrocelis ""bumpy"" = H. occidentalis?","4"
"Fifth Beach HIGH 2011 10","Plocamium violaceum","0.5"
"Fifth Beach HIGH 2011 10","Porphyra perforata","0.5"
"Fifth Beach HIGH 2011 10","Pterosiphonia bipinnata","10"
"Fifth Beach HIGH 2011 10","Mussels","60"
"Fifth Beach HIGH 2011 10","Barnacles, acorn","10"
"Fifth Beach HIGH 2011 10","Barnacles, goose-necked","8"
"Fifth Beach HIGH 2012 1","Cladophora columbiana","2"
"Fifth Beach HIGH 2012 1","Endocladia muricata","3"
"Fifth Beach HIGH 2012 1","Fucus distichus subsp. evanescens","75"
"Fifth Beach HIGH 2012 1","Gloiopeltis furcata (mostly bases)","2"
"Fifth Beach HIGH 2012 1","Mastocarpus alaskensis","6"
"Fifth Beach HIGH 2012 1","Petrocelis","10"
"Fifth Beach HIGH 2012 1","Pyropia perforata","3"
"Fifth Beach HIGH 2012 1","Wildemania norrisii","2"
"Fifth Beach HIGH 2012 1","Ulva lactuca","1"
"Fifth Beach HIGH 2012 1","Ulva linza","2"
"Fifth Beach HIGH 2012 1","Balanus glandula","40"
"Fifth Beach HIGH 2012 1","Chthamalus","20"
"Fifth Beach HIGH 2012 1","Mytilus","5"
"Fifth Beach HIGH 2012 1","Lottia","25"
"Fifth Beach HIGH 2012 1","Littorina","400"
"Fifth Beach HIGH 2012 1","Nucella","3"
"Fifth Beach HIGH 2012 1","Idotea","8"
"Fifth Beach HIGH 2012 1","Anthopleura","2"
"Fifth Beach HIGH 2012 2","Bare Rock","0.5"
"Fifth Beach HIGH 2012 2","Analipus japonicus","1"
"Fifth Beach HIGH 2012 2","Cladophora columbiana","2"
"Fifth Beach HIGH 2012 2","Cryptosiphonia woodii","1"
"Fifth Beach HIGH 2012 2","Elachista fucicola","0.5"
"Fifth Beach HIGH 2012 2","Endocladia muricata","2"
"Fifth Beach HIGH 2012 2","Fucus distichus subsp. evanescens","88"
"Fifth Beach HIGH 2012 2","Halosaccion glandiforme","12"
"Fifth Beach HIGH 2012 2","Hildenbrandia occidentalis","35"
"Fifth Beach HIGH 2012 2","Mastocarpus alaskensis","5"
"Fifth Beach HIGH 2012 2","Mastocarpus agardhii","0.5"
"Fifth Beach HIGH 2012 2","Mazzaella parvula","1"
"Fifth Beach HIGH 2012 2","Microcladia borealis","0.5"
"Fifth Beach HIGH 2012 2","Petrocelis","0.5"
"Fifth Beach HIGH 2012 2","Pyropia perforata","1"
"Fifth Beach HIGH 2012 2","Ulva lactuca","0.5"
"Fifth Beach HIGH 2012 2","Ulva linza","0.5"
"Fifth Beach HIGH 2012 2","Balanus glandula","55"
"Fifth Beach HIGH 2012 2","Semibalanus cariosus","1"
"Fifth Beach HIGH 2012 2","Mytilus","0.5"
"Fifth Beach HIGH 2012 2","Lottia","4"
"Fifth Beach HIGH 2012 2","Littorina","10"
"Fifth Beach HIGH 2012 2","Idotea","5"
"Fifth Beach HIGH 2012 2","Anthopleura","3"
"Fifth Beach HIGH 2012 2","Amphiporus","1"
"Fifth Beach HIGH 2012 3","Alaria","2"
"Fifth Beach HIGH 2012 3","Cryptosiphonia woodii","4"
"Fifth Beach HIGH 2012 3","Elachista fucicola","2"
"Fifth Beach HIGH 2012 3","Fucus distichus subsp. evanescens","98"
"Fifth Beach HIGH 2012 3","Halosaccion glandiforme","3"
"Fifth Beach HIGH 2012 3","Hildenbrandia occidentalis","30"
"Fifth Beach HIGH 2012 3","Mastocarpus alaskensis","6"
"Fifth Beach HIGH 2012 3","Mastocarpus agardhii","2"
"Fifth Beach HIGH 2012 3","Mazzaella oregona","8"
"Fifth Beach HIGH 2012 3","Pyropia perforata","3"
"Fifth Beach HIGH 2012 3","Pseudolithophyllum neofarlowii","1"
"Fifth Beach HIGH 2012 3","Ulva lactuca","4"
"Fifth Beach HIGH 2012 3","Ulva linza","1"
"Fifth Beach HIGH 2012 3","Balanus glandula","40"
"Fifth Beach HIGH 2012 3","Chthamalus","2"
"Fifth Beach HIGH 2012 3","Mytilus","1"
"Fifth Beach HIGH 2012 3","Lottia","15"
"Fifth Beach HIGH 2012 3","Idotea","1"
"Fifth Beach HIGH 2012 3","Pagarus","1"
"Fifth Beach HIGH 2012 4","Bare Rock","2"
"Fifth Beach HIGH 2012 4","Acrosiphonia","1"
"Fifth Beach HIGH 2012 4","Endocladia muricata","1"
"Fifth Beach HIGH 2012 4","Fucus distichus subsp. evanescens","70"
"Fifth Beach HIGH 2012 4","Hildenbrandia occidentalis","10"
"Fifth Beach HIGH 2012 4","Mastocarpus alaskensis","2"
"Fifth Beach HIGH 2012 4","Nemalion helminthoides","2"
"Fifth Beach HIGH 2012 4","Pyropia perforata","8"
"Fifth Beach HIGH 2012 4","Ulva lactuca","2"
"Fifth Beach HIGH 2012 4","Ulva linza","1"
"Fifth Beach HIGH 2012 4","Balanus glandula","30"
"Fifth Beach HIGH 2012 4","Chthamalus","40"
"Fifth Beach HIGH 2012 4","Lottia","40"
"Fifth Beach HIGH 2012 4","Littorina","300"
"Fifth Beach HIGH 2012 4","Idotea","1"
"Fifth Beach HIGH 2012 5","Bare Rock","2"
"Fifth Beach HIGH 2012 5","Acrosiphonia","0.5"
