Site,FID,Shape *,Zone,ID,Site,Transect,StartEnd,UTMn,UTMe,aspect,slope
North Beach,53,Point,LOW,nb_martone_low_3, , ,3,5724179.666,559803.3092,335.012238,16.780968
North Beach,54,Point,LOW,nb_martone_low_4, , ,4,5724180.666,559803.2958,256.203766,12.856484
North Beach,55,Point,LOW,nb_martone_low_5, , ,5,5724181.666,559803.2825,218.890549,35.784767
North Beach,56,Point,LOW,nb_martone_low_6, , ,6,5724182.665,559803.2691,226.760193,22.428352
North Beach,57,Point,LOW,nb_martone_low_7, , ,7,5724183.665,559803.2557,294.025269,21.107359
North Beach,58,Point,LOW,nb_martone_low_8, , ,8,5724184.665,559803.2423,6.843159,21.28376
North Beach,59,Point,LOW,nb_martone_low_9, , ,9,5724185.665,559803.229,301.117859,25.528067
North Beach,60,Point,LOW,nb_martone_low_10, , ,10,5724186.665,559803.2156,218.597672,2.51651
North Beach,61,Point,LOW,nb_martone_low_11, , ,11,5724187.665,559803.2022,260.841675,10.07585
North Beach,62,Point,LOW,nb_martone_low_12, , ,12,5724188.665,559803.1889,211.460648,12.110739
North Beach,63,Point,LOW,nb_martone_low_13, , ,13,5724189.665,559803.1755,313.990601,17.226673
North Beach,64,Point,LOW,nb_martone_low_14, , ,14,5724190.665,559803.1621,300.118286,25.678965
North Beach,65,Point,LOW,nb_martone_low_15, , ,15,5724191.665,559803.1488,284.887939,33.680443
North Beach,66,Point,LOW,nb_martone_low_16, , ,16,5724192.665,559803.1354,76.970703,25.671364
North Beach,67,Point,LOW,nb_martone_low_17, , ,17,5724193.664,559803.122,327.99942,9.770872
North Beach,68,Point,LOW,nb_martone_low_18, , ,18,5724194.664,559803.1086,291.44516,19.248981
North Beach,69,Point,LOW,nb_martone_low_19, , ,19,5724195.664,559803.0953,304.157959,3.635121
North Beach,70,Point,LOW,nb_martone_low_20, , ,20,5724196.664,559803.0819,243.94603,9.961629
North Beach,71,Point,LOW,nb_martone_low_21, , ,21,5724197.664,559803.0685,196.561584,24.921761
North Beach,72,Point,LOW,nb_martone_low_22, , ,22,5724198.664,559803.0552,62.960575,54.403522
North Beach,73,Point,LOW,nb_martone_low_23,NB,Low,End,5724199.275,559803.047,235.892441,44.479984
